time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	12	0	0	0	0	0	0
1	11	1137	2	4915200	8192	12952	0
2	12	477	1	3313664	28672	3444	0
3	11	759	39	3649536	430080	5148	8
4	12	508	4	16941056	315392	7368	28
5	11	467	0	17072128	0	3260	0
6	10	458	1	6410240	4096	3996	0
7	10	384	0	2805760	0	1964	0
8	11	170	1	2134016	4096	2104	0
9	11	115	3	1798144	143360	1184	4
10	11	113	7	2023424	28672	512	4
11	12	229	0	1130496	0	1388	0
12	10	60	2	647168	8192	700	0
13	12	4	0	20480	0	8	0
14	12	48	2	368640	114688	424	12
15	12	299	0	2297856	0	2904	0
16	12	225	30	1236992	245760	1868	0
17	11	64	0	1490944	0	932	0
18	12	182	1	1925120	12288	1928	0
19	12	721	2	2977792	249856	6796	40
20	11	574	0	2367488	0	6896	0
21	11	485	0	2002944	0	4400	0
22	12	616	0	2535424	0	5016	0
23	11	338	0	1396736	0	2580	0
24	11	410	6	1695744	2338816	5024	44
25	11	480	0	2043904	0	2196	0
26	11	330	0	1368064	0	3508	0
27	12	200	0	835584	0	832	0
28	11	176	0	737280	0	1136	0
29	11	309	7	1290240	2920448	2296	76
30	12	395	0	2129920	0	3436	0
31	11	43	2	233472	200704	92	4
32	9	21	1	438272	12288	144	0
33	12	176	5	1019904	1110016	3544	44
34	11	79	1	749568	4096	1220	0
35	11	1	0	8192	0	8	0
36	2	245	109	1286144	6643712	2292	96
37	6	18	0	552960	0	96	0
38	11	79	0	4395008	0	584	0
39	10	107	14	8687616	278528	468	40
40	12	47	23	557056	94208	1112	24
41	12	54	15	4616192	61440	176	8
42	11	147	29	815104	118784	1248	0
43	12	16	2	204800	12288	76	0
44	13	318	3	2170880	159744	2540	80
45	15	517	0	10002432	0	3308	0
46	38	66	0	421888	0	1428	0
47	39	68	0	1265664	0	388	0
48	21	78	5	626688	1265664	1032	8
49	12	16	0	131072	0	168	0
50	11	0	0	0	0	0	0
51	31	12	430	311296	7995392	132	3756
52	20	30	2	602112	606208	212	0
53	12	14	8	122880	1548288	64	32
54	12	106	0	954368	0	300	0
55	12	10	0	176128	0	28	0
56	12	17	486	290816	2146304	20	28
57	12	14	0	172032	0	24	0
58	12	13	4	217088	614400	104	76
59	12	9	0	241664	0	48	0
60	12	10	10	196608	3895296	32	20
61	27	24	305	159744	2056192	68	32
62	25	252	0	1888256	0	4332	0
63	38	418	25	2134016	1998848	2520	36
64	58	113	10	1298432	1232896	1760	0
65	62	140	0	1896448	0	944	0
66	62	19	60	188416	352256	76	28
67	62	4	0	90112	0	16	0
69	62	20	0	294912	0	80	0
70	62	6	2	180224	327680	60	64
71	62	3	0	81920	0	4	0
72	62	2	1	73728	32768	16	0
73	62	10	0	577536	0	64	0
74	62	81	0	565248	0	908	0
75	62	2	2	12288	73728	12	0
76	63	2	0	24576	0	12	0
77	62	3	462	65536	4943872	48	316
78	62	5	0	217088	0	20	0
79	62	1	0	20480	0	0	0
80	62	4	0	303104	0	12	0
81	62	4	2	102400	389120	28	40
82	62	0	123	0	4739072	0	12
83	62	8	0	262144	0	60	0
84	62	0	0	0	0	0	0
85	63	5	0	270336	0	20	0
86	62	2	2	16384	94208	16	12
87	62	2	252	24576	4517888	0	692
88	62	4	0	176128	0	32	0
89	62	17	0	393216	0	84	0
90	62	5	0	126976	0	16	0
91	62	0	2	0	106496	0	28
92	62	3	61	188416	2531328	24	4
93	62	1	0	32768	0	8	0
94	62	2	0	73728	0	8	0
95	62	3	0	212992	0	36	0
96	63	8	0	102400	0	28	0
97	62	1	778	16384	8175616	8	224
98	62	3	0	102400	0	24	0
99	62	2	0	200704	0	4	0
100	62	5	0	151552	0	24	0
101	63	2	0	20480	0	0	0
102	62	5	49	102400	18542592	108	768
103	62	1	0	4096	0	4	0
104	62	4	0	102400	0	12	0
105	62	4	0	86016	0	24	0
106	63	4	0	315392	0	24	0
107	62	3	51	94208	15953920	132	524
108	62	6	0	217088	0	32	0
109	62	1	0	36864	0	8	0
110	62	0	0	0	0	0	0
111	63	4	0	167936	0	4	0
112	62	3	43	65536	15667200	72	1332
113	62	0	0	0	0	0	0
114	62	2	0	106496	0	4	0
115	62	3	0	61440	0	20	0
116	64	1	0	20480	0	0	0
117	62	2	49	53248	18694144	40	2820
118	62	3	0	36864	0	52	0
119	62	22	0	405504	0	84	0
120	62	5	0	114688	0	16	0
121	66	2	0	200704	0	20	0
122	62	11	130	131072	17694720	184	7880
123	62	2	0	45056	0	0	0
124	62	2	0	28672	0	0	0
125	62	1	0	8192	0	24	0
126	65	2	0	32768	0	8	0
127	62	4	29	94208	11104256	88	1108
128	62	4	25	114688	9449472	76	1456
129	62	1	0	12288	0	8	0
130	62	2	0	28672	0	8	0
131	63	2	0	24576	0	4	0
132	67	2	17	16384	6885376	36	240
133	62	4	47	61440	17354752	376	3724
134	62	1	0	16384	0	4	0
135	62	4	0	69632	0	24	0
136	62	4	0	20480	0	16	0
137	63	2	0	12288	0	4	0
138	62	2	53	32768	16998400	0	3020
139	62	1	0	8192	0	12	0
140	62	3	0	12288	0	36	0
141	62	9	0	409600	0	12	0
142	58	10	0	397312	0	24	0
143	33	10	41	118784	16650240	288	1844
144	25	0	0	0	0	0	0
145	14	0	0	0	0	0	0
146	12	0	0	0	0	0	0
147	26	39	66	163840	33558528	644	5048
148	12	6	166	24576	79654912	1524	35644
149	12	4	112	16384	58200064	764	20704
150	12	3	114	12288	59768832	1068	79604
151	11	4	115	16384	60293120	824	40500
152	16	3	94	12288	48902144	796	29008
153	25	7	158	28672	77729792	1216	30696
154	25	1	104	4096	49074176	464	69508
155	18	3	102	12288	45735936	1560	75692
156	13	3	113	12288	58396672	680	29896
157	28	5	84	40960	43139072	444	53240
158	13	5	10	200704	3391488	172	0
159	12	2	55	8192	21102592	124	12264
160	26	0	0	0	0	0	0
161	62	9	0	53248	0	152	0
162	64	8	0	36864	0	32	0
163	62	6	35	32768	11812864	76	964
164	63	9	7	40960	3670016	60	596
165	62	6	0	28672	0	20	0
166	62	5	0	24576	0	4	0
167	63	9	0	45056	0	16	0
168	52	3	19	36864	6410240	4	148
169	12	4	51	16384	18165760	184	1752
170	13	4	0	16384	0	48	0
171	20	6	0	24576	0	40	0
172	51	59	2	552960	253952	732	0
173	45	121	3	700416	954368	948	16
174	32	50	63	258048	16912384	1136	2448
175	57	171	0	724992	0	1136	0
176	63	200	0	921600	0	920	0
177	21	99	0	487424	0	212	0
178	12	128	24	1028096	8015872	1964	104
179	12	29	62	143360	3428352	272	324
180	12	28	57	135168	827392	136	8
181	12	0	0	0	0	0	0
182	12	0	0	0	0	0	0
183	12	0	3	0	208896	0	24
184	23	0	0	0	0	0	0
185	34	19	0	118784	0	160	0
186	32	37	0	217088	0	184	0
187	35	64	0	315392	0	272	0
188	13	152	241	712704	4837376	380	968
189	56	242	0	1007616	0	3964	0
190	62	75	0	389120	0	120	0
191	63	97	0	442368	0	344	0
192	62	66	0	323584	0	48	0
193	48	52	15	212992	5586944	148	64
194	52	11	216	258048	71180288	2524	71076
195	60	102	27	421888	13598720	3680	26624
196	63	263	0	1773568	0	4880	0
197	63	143	0	667648	0	1448	0
198	62	86	7	380928	2822144	804	68
199	62	16	76	65536	15208448	200	1188
200	57	8	0	45056	0	64	0
201	28	32	0	131072	0	336	0
202	61	44	0	196608	0	168	0
203	56	109	5	561152	1855488	1896	44
204	52	19	268	192512	75292672	1476	87100
205	44	81	71	729088	10383360	3648	27880
206	41	70	0	368640	0	748	0
207	24	39	0	221184	0	256	0
208	49	58	8	303104	2654208	864	52
209	50	94	343	401408	3702784	780	892
210	41	107	0	724992	0	1196	0
211	24	54	0	430080	0	216	0
212	48	29	0	221184	0	468	0
213	62	55	8	671744	2654208	360	132
214	45	61	204	622592	7372800	380	272
215	64	22	12	233472	4395008	48	20
216	46	4	0	32768	0	28	0
217	61	0	10	0	3911680	0	224
218	37	0	2	0	376832	0	24
219	57	100	261	647168	8871936	2296	2396
221	58	206	0	1257472	0	2824	0
222	36	427	0	3137536	0	4420	0
223	17	258	0	2068480	0	2020	0
224	10	256	4	2162688	671744	1012	56
225	12	38	1372	700416	10264576	660	18428
226	14	40	0	495616	0	484	0
227	62	3	0	36864	0	48	0
228	54	33	0	266240	0	280	0
229	58	10	3	135168	626688	40	148
230	62	29	484	352256	5214208	376	236
231	50	18	0	233472	0	76	0
232	46	5	0	118784	0	56	0
233	45	13	0	86016	0	80	0
