time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	11	0	0	0	0	0	0
1	18	920	2	4386816	8192	11412	0
2	9	193	642	1159168	12812288	2228	53076
3	12	61	393	647168	17432576	1660	91256
4	11	629	3	3448832	147456	5796	188
5	12	221	39	2363392	430080	3616	8
6	11	553	0	22945792	0	3720	0
7	11	427	1	12627968	4096	3300	0
8	11	367	1	4833280	28672	1912	0
9	11	167	5	2121728	360448	2072	24
10	12	45	0	1101824	0	260	0
11	11	127	7	2490368	28672	520	0
12	11	212	0	1134592	0	1412	0
13	12	45	0	507904	0	692	0
14	12	6	2	32768	110592	8	8
15	11	48	0	368640	0	396	0
16	11	257	0	2125824	0	2332	0
17	11	224	0	1150976	0	2216	0
18	11	47	12	1236992	49152	240	0
19	11	126	12	1675264	397312	1796	28
20	11	410	0	1921024	0	3900	0
21	11	552	0	2293760	0	6148	0
22	12	476	0	1957888	0	3032	0
23	11	594	0	2453504	0	6468	0
24	11	361	6	1478656	2232320	2248	52
25	11	379	0	1568768	0	3068	0
26	11	406	0	1712128	0	3276	0
27	11	488	0	2052096	0	3100	0
28	11	213	1	884736	196608	804	0
29	12	182	8	770048	3403776	1168	72
30	11	201	0	847872	0	1288	0
31	12	338	0	1867776	0	3964	0
32	11	229	0	1019904	0	596	0
33	15	21	3	430080	86016	112	0
34	11	88	10	421888	1699840	436	164
35	13	45	1	679936	4096	472	0
36	10	1	0	4096	0	0	0
37	9	17	10	110592	53248	148	0
38	3	177	373	1150976	13123584	2792	12968
39	8	14	4	483328	569344	124	60
40	12	111	0	8904704	0	628	0
41	13	163	18	4648960	94208	1952	12
42	8	13	24	311296	98304	108	0
43	7	168	18	5292032	73728	1192	12
44	10	8	21	143360	217088	64	36
45	12	238	0	1630208	0	1528	0
46	17	504	0	10190848	0	3160	0
47	38	54	0	372736	0	1280	0
48	54	80	9	1302528	36864	664	0
49	24	96	16	831488	1761280	1740	16
50	12	24	10	167936	40960	420	4
51	12	0	0	0	0	0	0
52	42	13	2	319488	8192	128	0
53	24	52	317	749568	2244608	652	20
54	7	12	21	61440	2658304	152	136
55	6	77	5	815104	20480	304	8
56	9	17	7	139264	28672	68	0
57	11	11	6	172032	24576	48	8
58	11	14	295	229376	2142208	88	384
59	12	21	15	126976	1789952	120	88
60	11	13	6	167936	24576	36	8
61	12	17	9	208896	36864	80	16
62	12	7	5	147456	20480	40	4
63	11	11	316	245760	1740800	64	108
64	12	19	21	155648	5058560	212	132
65	26	28	17	139264	217088	76	20
66	37	83	7	724992	262144	1932	0
67	43	72	21	1064960	241664	912	16
68	88	118	78	1597440	1617920	2828	224
69	100	167	7	1867776	1806336	1392	44
70	100	24	1	339968	4096	68	0
71	100	0	0	0	0	0	0
72	99	5	4	176128	16384	44	0
73	100	5	439	155648	5201920	200	4316
74	100	1	3	57344	425984	44	92
75	99	1	1	184320	4096	12	0
76	99	88	4	917504	16384	1184	4
77	100	12	5	118784	20480	84	4
78	100	0	585	0	5099520	0	336
79	99	3	4	188416	1257472	12	0
80	100	3	4	53248	16384	40	40
81	100	3	1	356352	4096	32	0
82	100	0	0	0	0	0	0
83	100	2	169	45056	6680576	16	176
84	100	4	2	28672	8192	32	0
85	100	0	3	0	634880	0	8
86	99	4	1	126976	4096	32	0
87	99	7	4	405504	16384	32	0
88	100	6	207	40960	3035136	40	16
89	100	0	0	0	0	0	0
