time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	11	0	0	0	0	0	0
1	11	1182	2	5099520	8192	12292	0
2	12	615	0	4034560	0	3856	0
3	11	524	39	2531328	430080	5136	8
4	12	375	0	19726336	0	3016	0
5	12	482	4	14450688	315392	3576	40
6	11	528	1	6569984	4096	4188	0
7	11	303	0	2686976	0	1284	0
8	11	174	1	2347008	4096	2296	0
9	12	122	0	1835008	0	556	0
10	11	70	10	1429504	151552	308	16
11	10	270	0	1323008	0	1916	0
12	10	15	0	368640	0	88	0
13	12	43	0	217088	0	384	0
14	11	14	0	438272	0	92	0
15	10	333	2	2314240	110592	3472	0
16	10	367	2	2129920	8192	4288	4
17	11	221	14	1593344	57344	2072	0
18	11	295	6	2433024	32768	2876	0
19	12	671	0	2777088	0	6080	0
20	11	559	5	2306048	1097728	6468	72
21	12	433	0	1785856	0	4312	0
22	12	841	0	3461120	0	8364	0
23	11	665	0	2723840	0	2432	0
24	11	573	0	2363392	0	3932	0
25	11	344	6	1454080	2596864	2884	60
26	11	498	0	2097152	0	3736	0
27	11	311	0	1282048	0	2164	0
28	12	372	0	1544192	0	1600	0
29	12	282	0	1175552	0	2224	0
30	12	454	9	2199552	3301376	3436	60
31	11	262	0	1282048	0	968	0
32	12	14	0	303104	0	84	0
33	11	39	4	380928	24576	132	0
34	14	107	0	880640	0	668	0
35	10	6	618	94208	13406208	436	3672
36	11	40	3	167936	8192	720	272
37	2	285	8	1384448	45056	2964	0
38	5	24	0	643072	0	100	0
39	10	81	0	4616192	0	580	0
40	11	136	18	8593408	348160	1204	72
41	12	17	22	438272	90112	96	8
42	12	124	13	4898816	53248	732	8
43	11	77	29	528384	122880	700	4
44	11	16	0	204800	0	56	0
45	14	468	3	3207168	425984	3696	32
46	15	279	0	8871936	0	1684	0
47	24	94	0	643072	0	2252	0
48	26	109	6	1466368	24576	1412	0
49	27	179	12	1531904	49152	3360	0
50	14	220	185	2629632	1683456	5136	88
51	11	160	29	1028096	3047424	3104	12
52	11	222	19	2322432	77824	1064	52
53	11	227	31	2109440	126976	828	12
54	13	157	34	1601536	4141056	768	28
55	43	62	432	372736	2101248	224	136
56	17	177	27	1880064	2183168	3064	72
57	74	91	14	978944	1249280	2464	0
58	36	242	2	3411968	16384	3264	4
59	32	314	18	24911872	159744	8772	0
60	28	245	140	14270464	2375680	11012	56
61	23	243	13	17698816	1261568	12004	172
62	24	274	8	19853312	32768	12748	4
63	30	275	9	20705280	40960	13152	56
64	27	226	13	19968000	53248	9880	0
65	19	278	103	20017152	532480	12488	44
66	25	230	15	17960960	516096	10680	156
67	20	214	6	19058688	24576	11180	0
68	23	234	7	22851584	28672	13028	0
69	26	223	11	18485248	45056	10876	8
70	16	146	419	13152256	4620288	13400	2352
71	23	102	5	9592832	380928	11776	572
72	22	196	9	17022976	36864	11280	864
73	37	174	10	15532032	40960	11288	424
74	24	211	11	18427904	45056	11292	220
75	19	194	78	12492800	757760	6140	268
76	15	9	110	36864	56623104	696	17772
77	12	6	122	24576	63016960	1216	27880
78	16	7	114	151552	59768832	2040	20724
79	18	13	137	69632	71827456	1908	17816
80	16	7	361	28672	44224512	1948	21732
81	12	6	118	24576	60878848	1448	28464
82	12	9	99	118784	51654656	2624	36548
83	16	9	113	159744	58720256	1720	21040
84	32	14	117	65536	61341696	1984	12440
85	20	9	111	57344	51372032	2148	27096
86	13	131	1267	1101824	18841600	7784	16128
87	12	51	1	479232	4096	1028	0
88	12	0	0	0	0	0	0
89	32	2	2	8192	8192	16	0
90	33	188	12	8163328	49152	6220	4
91	35	180	149	6922240	36405248	8776	3400
92	20	93	68	5513216	25706496	10352	20736
93	12	132	14	8073216	57344	3380	0
94	16	3	0	12288	0	52	0
95	72	78	3	970752	12288	1612	48
96	73	40	81	339968	27271168	1152	3568
97	63	14	132	65536	53252096	3536	31944
98	58	17	116	98304	46321664	8524	65952
99	48	74	0	348160	0	1168	0
100	95	140	0	598016	0	1360	0
101	84	124	6	618496	2580480	2004	268
102	14	109	0	552960	0	652	0
103	21	77	204	315392	60801024	1200	53424
104	9	2	312	8192	25051136	1828	83720
105	12	110	29	786432	9445376	2220	8512
106	12	24	52	122880	1662976	296	92
107	12	29	57	139264	806912	148	12
108	12	35	1	143360	24576	168	0
109	12	0	48	0	10858496	0	1188
110	12	1	0	4096	0	0	0
111	29	0	2	0	245760	0	4
112	48	25	0	155648	0	128	0
113	39	41	0	225280	0	312	0
114	42	55	1	274432	4096	112	0
115	64	82	0	434176	0	436	0
116	98	235	7	1048576	2945024	1664	92
117	98	191	0	811008	0	632	0
118	94	169	0	757760	0	356	0
119	63	112	119	466944	36167680	920	6648
120	87	16	116	196608	44904448	5528	75172
121	94	180	8	1536000	3477504	7348	88
122	96	227	0	1150976	0	2444	0
123	99	135	0	585728	0	704	0
124	100	0	99	0	23777280	0	3596
125	37	0	149	0	65179648	0	76320
126	57	59	78	241664	20750336	976	72780
127	86	106	0	475136	0	552	0
128	74	245	0	1196032	0	1448	0
129	53	171	0	1093632	0	1224	0
130	35	132	403	659456	2699264	876	188
131	60	30	11	196608	4235264	272	76
133	94	111	0	471040	0	2416	0
134	16	169	0	1167360	0	1780	0
135	44	15	0	81920	0	128	0
136	36	97	553	1105920	3256320	2572	68
137	35	239	35	3727360	3375104	6552	164
138	32	303	57	4112384	4579328	6788	16
139	32	245	62	3211264	8462336	5376	8
140	38	264	15	3444736	61440	9520	32
141	14	61	724	1015808	10768384	4360	34308
142	12	95	31	1486848	1687552	6784	20168
143	12	135	1	1171456	4096	2988	0
144	12	120	0	1024000	0	2780	0
145	14	118	0	1310720	0	2604	0
146	13	69	560	786432	5529600	2000	52
147	12	118	4	2301952	643072	1796	72
148	15	194	0	1572864	0	1392	0
149	55	138	1	1495040	4096	1576	0
150	47	174	21	3850240	86016	5700	4
151	48	251	1193	5124096	6799360	10548	4876
152	33	110	15	3313664	1085440	3240	536
153	16	116	14	3182592	57344	2332	136
154	12	117	4	3391488	16384	1956	92
155	21	180	0	745472	0	1588	0
156	33	189	680	2109440	5468160	3064	364
157	36	135	33	3219456	1298432	3840	248
158	25	195	14	6078464	57344	4944	4
159	23	193	19	3756032	1691648	3792	0
160	46	155	23	3194880	98304	1984	4
161	36	308	626	3080192	3526656	5628	244
162	40	187	449	1781760	4349952	8240	384
163	27	526	71	5091328	290816	6376	4
164	66	307	29	7704576	118784	7688	28
165	58	311	25	9621504	102400	5788	16
166	58	309	297	8110080	5251072	8056	612
167	53	215	18	7331840	1847296	6916	164
168	53	226	26	6320128	106496	6180	128
169	51	241	26	6606848	106496	7212	480
170	39	269	26	10649600	106496	8192	1216
171	36	162	225	9801728	11276288	7600	2784
172	45	178	18	8044544	73728	8312	236
173	33	243	24	8445952	98304	7656	4
174	44	142	15	7102464	61440	3424	4
175	19	276	29	5292032	118784	4944	36
176	12	122	369	1994752	5730304	3232	4516
177	14	4	15	102400	1044480	252	5336
178	36	49	9	630784	184320	560	12
179	42	370	34	4956160	139264	8140	584
180	40	333	34	8380416	139264	8436	916
181	37	225	189	5988352	10235904	6528	2124
182	42	216	23	7323648	950272	5384	148
183	55	189	10	15134720	40960	8720	0
184	36	265	13	17924096	53248	10004	0
185	35	330	16	19947520	65536	13824	4
186	37	260	140	18436096	11108352	11476	2168
187	42	145	16	13385728	827392	9400	360
188	32	316	16	22802432	65536	10096	20
189	53	355	20	20697088	81920	14068	312
190	23	367	49	15708160	200704	8720	44
191	13	121	254	5365760	14934016	1860	6372
192	46	40	7	2412544	1007616	260	36
193	23	188	19	8007680	77824	4328	0
195	67	197	9	6479872	36864	3648	76
196	59	236	12	9646080	49152	6508	48
197	29	167	351	9412608	23257088	4048	7936
198	15	82	6	4390912	1040384	1828	56
199	17	167	5	14708736	40960	2052	0
200	25	148	4	1294336	16384	1996	0
201	45	235	14	14860288	57344	2508	0
202	38	87	263	2854912	34164736	3964	20248
203	46	224	26	6307840	1449984	7964	144
204	22	88	8	4706304	32768	1076	0
205	39	179	21	6008832	315392	3236	0
206	58	282	35	4427776	143360	4380	4
207	43	159	225	1896448	26206208	5952	9128
208	49	142	35	1257472	1101824	6620	256
209	47	354	66	2568192	270336	8208	24
210	46	348	37	3694592	151552	4184	20
211	12	413	71	6762496	290816	5420	96
212	6	135	500	950272	20594688	1904	40612
213	10	107	37	696320	2646016	2080	7624
214	12	235	0	978944	0	5744	0
215	10	36	0	147456	0	204	0
216	10	128	18	1368064	73728	436	4
217	7	84	130	1626112	30568448	504	2288
218	11	7	146	159744	48717824	1056	38996
219	11	123	45	1511424	10186752	1236	21732
220	10	126	29	2449408	118784	636	4
221	10	148	37	3821568	3960832	572	4
222	17	156	36	2301952	2875392	1004	0
223	14	42	169	819200	47779840	1112	9568
224	9	35	196	548864	27529216	1608	11112
225	10	111	14	2027520	1335296	796	4
226	11	114	43	3776512	7380992	608	56
227	10	167	24	4173824	1548288	1896	36
228	12	100	41	2383872	8654848	688	176
229	10	64	162	2269184	30646272	748	20100
230	11	64	57	1544192	17477632	904	24852
231	10	93	21	2535424	1880064	784	20
232	11	100	62	2826240	5607424	580	108
233	11	48	10	512000	1216512	644	24
234	10	103	538	2895872	25575424	780	20216
235	10	83	107	1912832	6193152	640	212
236	9	147	42	2871296	4165632	576	8
237	10	157	38	2465792	2461696	644	4
238	12	191	38	4513792	3637248	2072	84
239	32	82	328	1773568	11304960	636	2876
240	49	289	25	3637248	102400	6636	4
241	45	346	51	4177920	208896	9188	24
242	37	400	48	5734400	196608	8768	24
243	53	287	35	6164480	1622016	8452	228
244	31	105	652	2490368	9773056	5268	8088
245	59	127	30	2932736	155648	8156	484
