time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	7	0	0	0	0	0	0
1	10	0	46	0	884736	0	80
2	12	0	0	0	0	0	0
3	11	0	5	0	20480	0	4
4	12	0	363	0	7507968	0	1720
5	12	0	127	0	12083200	0	17972
6	12	0	3	0	192512	0	20
7	12	0	0	0	0	0	0
8	10	0	2	0	8192	0	8
9	12	0	21	0	94208	0	0
10	13	0	0	0	0	0	0
11	16	1	14	69632	6365184	16	220
12	12	69	4	671744	24576	528	4
13	10	0	0	0	0	0	0
14	13	0	2	0	28672	0	0
15	3	0	9	0	36864	0	16
16	6	0	6	0	561152	0	12
17	12	0	12	0	69632	0	8
18	12	0	23	0	94208	0	16
19	11	0	23	0	94208	0	4
20	16	0	20	0	86016	0	0
21	20	0	0	0	0	0	0
22	25	0	10	0	561152	0	60
23	14	0	24	0	98304	0	28
24	12	0	35	0	2330624	0	4
25	36	0	93	0	4616192	0	48
26	71	0	21	0	241664	0	4
27	19	0	151	0	4878336	0	72
28	12	2	122	8192	42622976	8	23228
29	12	0	133	0	69730304	0	124604
30	12	0	107	0	56098816	0	123396
31	19	0	115	0	60293120	0	143248
32	25	0	106	0	55574528	0	138564
33	28	0	109	0	57147392	0	145652
34	25	0	108	0	56623104	0	135200
35	25	0	99	0	51904512	0	110176
36	16	0	98	0	50511872	0	118536
37	12	0	129	0	59207680	0	154112
38	12	0	74	0	24539136	0	148704
39	15	0	0	0	0	0	0
40	6	0	836	0	11730944	0	54928
41	22	0	51	0	2678784	0	47980
42	13	0	54	0	221184	0	64
43	13	0	4	0	1490944	0	36
44	51	0	2	0	8192	0	16
45	80	0	98	0	757760	0	80
46	47	0	0	0	0	0	0
47	91	0	0	0	0	0	0
48	74	0	8	0	3178496	0	60
49	12	0	1	0	4096	0	0
50	12	0	92	0	1298432	0	20
51	12	0	39	0	569344	0	8
52	13	0	0	0	0	0	0
53	12	0	3	0	974848	0	40
54	16	0	0	0	0	0	0
55	48	0	1347	0	14430208	0	4884
56	53	0	0	0	0	0	0
57	39	0	0	0	0	0	0
58	76	0	8	0	3002368	0	44
59	74	0	0	0	0	0	0
60	73	0	481	0	38998016	0	10520
61	96	0	156	0	57356288	0	88492
62	70	0	149	0	61997056	0	140996
63	12	0	134	0	50036736	0	129564
64	99	0	122	0	47923200	0	156112
65	99	0	142	0	45502464	0	72556
66	100	0	0	0	0	0	0
67	96	0	0	0	0	0	0
68	26	0	5	0	1736704	0	36
69	91	0	13	0	413696	0	0
70	85	0	0	0	0	0	0
71	53	0	0	0	0	0	0
72	54	0	0	0	0	0	0
73	67	0	9	0	4132864	0	72
74	80	0	95	0	35106816	0	5768
75	59	0	154	0	58093568	0	78212
76	54	0	157	0	61612032	0	132756
77	38	0	612	0	36155392	0	179904
78	64	0	208	0	15638528	0	93176
79	59	0	132	0	8749056	0	124
80	29	0	37	0	151552	0	16
81	32	0	52	0	212992	0	32
82	32	0	40	0	1781760	0	8
83	81	0	694	0	9105408	0	2980
84	99	0	80	0	327680	0	12
85	84	0	113	0	462848	0	36
86	19	0	42	0	172032	0	12
87	12	0	234	0	4337664	0	20
88	57	0	154	0	6156288	0	42528
89	85	0	146	0	598016	0	40
90	15	0	144	0	589824	0	48
91	37	0	0	0	0	0	0
92	26	0	474	0	2109440	0	44
93	35	0	686	0	10006528	0	54640
94	25	0	25	0	102400	0	4
95	17	0	0	0	0	0	0
96	27	0	9	0	57344	0	0
97	50	0	16	0	65536	0	0
98	48	0	480	0	4206592	0	84
99	42	0	34	0	368640	0	28
100	10	0	273	0	1519616	0	76
101	11	0	0	0	0	0	0
102	12	0	62	0	2920448	0	28
104	11	0	986	0	15081472	0	5124
105	11	1	139	4096	19775488	28	116
106	11	0	95	0	14008320	0	104
107	11	1	84	4096	7622656	12	52
108	59	32	86	131072	8196096	392	12
109	82	0	857	0	7864320	0	692
110	50	0	171	0	1126400	0	44
111	56	0	159	0	651264	0	16
112	38	0	218	0	892928	0	1088
113	22	0	53	0	217088	0	28
114	49	0	486	0	45617152	0	88728
115	36	0	419	0	8060928	0	79500
116	32	0	421	0	39202816	0	197564
117	51	0	256	0	33583104	0	98604
118	39	0	175	0	737280	0	52
119	58	0	101	0	2224128	0	3820
120	70	0	235	0	962560	0	48
121	96	0	197	0	9596928	0	1884
122	99	0	221	0	50356224	0	88020
123	57	0	139	0	54603776	0	109272
124	35	0	160	0	47718400	0	154192
125	99	1	227	4096	43393024	144	82596
126	99	0	71	0	15556608	0	20364
127	99	0	24	0	98304	0	8
128	93	0	24	0	98304	0	0
129	97	0	58	0	4325376	0	412
130	76	0	408	0	28684288	0	15280
131	99	0	821	0	33652736	0	149612
132	22	0	54	0	565248	0	2736
133	39	0	17	0	69632	0	0
134	14	0	34	0	15589376	0	2488
135	58	0	12	0	49152	0	8
138	97	0	454	0	29081600	0	8236
139	79	0	140	0	4599808	0	644
140	50	0	712	0	37703680	0	54332
141	65	0	345	0	42651648	0	112040
142	17	0	376	0	37732352	0	79092
143	10	0	213	0	43524096	0	109028
144	14	0	268	0	38096896	0	160876
145	28	0	127	0	46018560	0	63204
146	55	0	195	0	39301120	0	104376
147	29	0	210	0	31670272	0	129228
148	33	0	338	0	37982208	0	135008
149	13	0	284	0	33427456	0	149924
150	8	0	213	0	39370752	0	123248
151	23	0	176	0	45420544	0	103788
152	65	0	201	0	49647616	0	157264
153	10	0	449	0	38731776	0	156328
154	25	0	157	0	44658688	0	92908
155	47	0	168	0	31440896	0	139780
156	39	0	839	0	44883968	0	158236
157	26	0	86	0	14172160	0	49296
158	44	0	376	0	44449792	0	210440
159	18	0	141	0	34643968	0	106816
160	45	0	181	0	35979264	0	123052
161	11	0	151	0	46125056	0	76780
162	67	0	232	0	33918976	0	145980
163	12	0	258	0	30060544	0	158208
164	49	0	290	0	29245440	0	160732
165	35	0	173	0	27332608	0	61988
166	36	0	220	0	50802688	0	152740
167	16	0	267	0	12627968	0	78652
168	14	0	186	0	57110528	0	222824
169	51	0	288	0	39682048	0	153504
170	40	0	300	0	37658624	0	86716
171	62	0	432	0	11292672	0	115544
172	73	0	553	0	9953280	0	182544
173	40	0	270	0	32112640	0	90832
174	67	0	638	0	21688320	0	165588
175	74	0	1405	0	22908928	0	105320
176	18	0	700	0	27443200	0	91416
177	46	0	745	0	26689536	0	127876
178	29	0	14	0	57344	0	0
179	56	0	30	0	6074368	0	736
180	66	0	43	0	176128	0	12
181	26	0	62	0	253952	0	76
182	25	0	477	0	18489344	0	42792
183	72	0	41	0	6111232	0	6688
184	21	0	71	0	4775936	0	176
185	93	0	13	0	77824	0	40
186	94	0	15	0	61440	0	0
187	74	0	229	0	28958720	0	10000
188	73	0	165	0	21962752	0	80320
189	38	0	57	0	16683008	0	1960
190	22	0	11	0	1650688	0	40
191	23	0	11	0	1085440	0	0
192	59	0	304	0	15761408	0	3248
193	23	0	232	0	39653376	0	94280
194	16	0	186	0	40144896	0	147756
195	12	0	12	0	3334144	0	9988
196	18	0	0	0	0	0	0
197	13	0	15	0	61440	0	0
198	21	0	7	0	28672	0	0
199	19	0	307	0	52822016	0	62696
200	12	0	229	0	39911424	0	101212
201	12	0	24	0	10727424	0	11148
202	12	0	0	0	0	0	0
203	12	0	0	0	0	0	0
204	15	0	2	0	106496	0	8
205	25	5	177	20480	39546880	56	13980
206	24	0	242	0	45244416	0	133040
207	23	0	194	0	47054848	0	137816
208	25	0	335	0	38715392	0	163728
209	14	0	582	0	15040512	0	110824
210	8	0	431	0	10752000	0	159416
211	18	0	92	0	20459520	0	36624
212	10	0	297	0	43442176	0	156920
213	17	0	409	0	19828736	0	80200
214	11	0	389	0	27000832	0	194400
215	13	0	115	0	24592384	0	76220
217	26	0	228	0	30269440	0	159688
218	24	0	588	0	37031936	0	161204
219	15	0	338	0	21286912	0	137208
220	30	0	404	0	18804736	0	132768
221	18	0	303	0	12562432	0	121980
222	44	0	121	0	23834624	0	119508
223	40	1	247	4096	14192640	40	62804
224	66	0	12	0	49152	0	4
225	22	0	70	0	286720	0	8
226	54	0	22	0	1253376	0	48
227	13	0	37	0	151552	0	24
228	14	0	249	0	12410880	0	1944
229	40	0	6	0	24576	0	104
230	21	1	26	4096	106496	16	200
231	29	0	16	0	4628480	0	92
232	16	0	12	0	49152	0	0
233	23	0	52	0	2461696	0	8
234	34	0	9	0	36864	0	0
235	34	0	2	0	8192	0	0
236	16	0	20	0	8433664	0	704
237	86	0	2	0	8192	0	0
238	29	0	115	0	59252736	0	35776
239	19	0	138	0	72351744	0	116452
240	30	0	127	0	64503808	0	109940
241	22	1	130	131072	67637248	216	182288
242	16	1	161	4096	76992512	472	175144
243	20	0	468	0	41742336	0	77180
