time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	11	0	0	0	0	0	0
1	11	1123	5	4857856	86016	13828	12
2	12	736	0	4530176	0	5212	0
3	11	547	39	2625536	430080	6024	4
4	10	518	0	8556544	0	4252	0
5	11	351	4	15159296	16384	2500	0
6	9	371	6	10289152	348160	2812	28
7	11	251	31	1757184	126976	1624	32
8	11	165	61	1826816	385024	2320	188
9	11	131	18	2535424	73728	716	0
10	12	102	21	1470464	86016	536	0
11	11	233	28	1085440	229376	1640	56
12	10	13	35	360448	143360	88	4
13	12	0	38	0	155648	0	8
14	11	87	30	1269760	131072	476	8
15	11	54	19	1060864	77824	624	8
16	12	483	3	2531328	135168	4064	28
17	11	41	15	1376256	69632	336	8
18	12	214	2	2080768	16384	2336	0
19	11	662	0	2740224	0	5572	0
20	11	586	0	2420736	0	5784	0
21	11	496	4	2048000	1511424	4764	40
22	11	615	0	2531328	0	5412	0
23	11	338	2	1396736	237568	3708	40
24	12	411	0	1699840	0	4688	0
25	11	484	0	2060288	0	2232	0
26	11	316	7	1310720	2760704	3312	36
27	11	188	0	786432	0	856	0
28	12	189	0	790528	0	1124	0
29	11	310	0	1294336	0	2540	0
30	12	370	0	2019328	0	4092	0
31	11	73	6	360448	1998848	104	32
32	12	21	9	430080	36864	88	4
33	11	118	49	585728	6090752	2340	40
34	11	57	20	737280	81920	656	8
35	11	1	31	4096	131072	0	12
36	11	200	9	954368	438272	1320	16
37	4	449	0	2719744	0	5084	0
38	9	3	75	20480	610304	36	8
39	11	12	21	417792	86016	96	16
40	12	91	18	4767744	73728	612	0
41	11	80	35	540672	323584	720	60
42	12	21	0	454656	0	60	0
43	16	631	107	3833856	5767168	3784	256
44	32	260	2	8536064	36864	1740	0
45	38	71	0	622592	0	900	0
46	12	79	5	864256	1306624	1148	28
47	12	0	0	0	0	0	0
48	12	0	1	0	36864	0	0
49	15	11	0	311296	0	88	0
50	48	12	2	266240	786432	144	8
51	12	30	6	454656	1396736	136	0
52	12	69	3	745472	262144	216	0
53	12	11	46	184320	3485696	56	328
54	12	8	6	331776	606208	44	0
55	12	18	11	167936	782336	24	28
56	12	9	8	167936	761856	20	4
57	12	11	10	200704	610304	32	4
58	12	6	78	98304	3239936	0	1148
59	11	7	4	253952	925696	40	12
60	11	16	21	106496	4730880	140	28
61	43	75	15	380928	565248	116	4
62	17	633	16	3534848	122880	5280	16
63	89	74	67	610304	4493312	1408	212
64	100	203	0	2981888	0	1888	0
65	100	23	0	335872	0	68	0
66	100	3	0	110592	0	20	0
67	99	2	0	135168	0	12	0
68	100	4	30	155648	737280	52	88
69	100	3	0	90112	0	8	0
70	99	0	0	0	0	0	0
71	99	9	0	503808	0	136	0
72	100	81	0	618496	0	996	0
73	100	1	33	16384	774144	8	132
74	100	5	0	237568	0	28	0
75	100	2	0	49152	0	4	0
76	100	0	0	0	0	0	0
77	99	2	0	352256	0	12	0
78	100	1	277	32768	9945088	16	5096
79	100	2	0	20480	0	12	0
80	99	1	0	12288	0	8	0
81	100	4	0	163840	0	36	0
82	100	2	0	94208	0	24	0
83	100	1	69	126976	4362240	4	372
84	100	3	0	151552	0	24	0
85	100	0	0	0	0	0	0
86	99	1	0	12288	0	36	0
87	100	15	0	274432	0	128	0
88	100	4	33	65536	1441792	36	248
89	100	2	0	270336	0	28	0
90	100	5	0	286720	0	8	0
91	100	1	0	45056	0	16	0
92	100	1	0	32768	0	8	0
93	100	3	371	77824	9605120	44	892
94	100	6	0	266240	0	56	0
95	100	2	0	32768	0	8	0
96	100	1	0	16384	0	4	0
97	100	2	0	86016	0	32	0
98	100	1	39	8192	10641408	4	1640
99	100	2	0	258048	0	16	0
100	100	3	0	118784	0	32	0
101	100	3	0	24576	0	8	0
102	99	2	0	69632	0	16	0
103	100	4	60	36864	23625728	160	4968
104	100	2	0	69632	0	4	0
105	100	2	0	32768	0	20	0
106	100	4	0	86016	0	52	0
107	99	3	0	118784	0	12	0
108	100	9	124	512000	16613376	332	2336
109	100	2	0	131072	0	28	0
110	100	1	0	73728	0	12	0
111	100	1	0	8192	0	24	0
112	100	0	0	0	0	0	0
113	99	2	49	8192	19374080	184	1704
114	99	1	0	53248	0	20	0
115	100	6	0	196608	0	36	0
116	99	0	0	0	0	0	0
117	100	4	0	57344	0	24	0
118	99	2	61	8192	24354816	196	2076
119	100	19	7	421888	2277376	416	24
120	100	6	0	90112	0	32	0
121	100	9	0	94208	0	32	0
122	100	0	0	0	0	0	0
123	100	1	0	208896	0	12	0
124	100	2	50	69632	20156416	144	5428
125	100	1	0	36864	0	0	0
126	100	5	0	53248	0	44	0
127	100	34	0	237568	0	580	0
128	100	0	0	0	0	0	0
129	100	0	41	0	15937536	0	2948
130	100	1	0	8192	0	8	0
131	100	4	0	118784	0	20	0
132	100	0	0	0	0	0	0
133	99	1	0	20480	0	0	0
134	100	1	168	8192	39755776	20	17348
135	100	3	0	36864	0	32	0
136	100	2	0	36864	0	12	0
137	100	2	0	36864	0	12	0
138	100	2	0	24576	0	24	0
139	100	4	59	53248	18046976	44	6352
140	99	0	0	0	0	0	0
141	100	5	0	36864	0	24	0
142	100	1	0	20480	0	0	0
143	100	2	0	12288	0	24	0
144	100	12	73	217088	14073856	68	7044
145	100	2	0	8192	0	24	0
146	100	7	0	409600	0	36	0
147	94	5	0	73728	0	12	0
148	74	10	0	434176	0	52	0
149	54	1	76	4096	26165248	32	7604
150	29	0	0	0	0	0	0
151	17	0	0	0	0	0	0
152	13	9	0	536576	0	48	0
153	15	39	0	184320	0	732	0
154	12	2	62	12288	23490560	40	4224
155	12	5	119	20480	61865984	568	13240
156	12	4	131	16384	68681728	944	38684
157	12	6	149	24576	78118912	964	18052
