time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	9	0	0	0	0	0	0
1	11	1	41	4096	438272	16	4
2	12	0	1	0	4096	0	0
3	12	0	1	0	4096	0	0
4	12	0	7	0	28672	0	0
5	12	0	6	0	561152	0	28
6	12	0	0	0	0	0	0
7	11	0	0	0	0	0	0
8	12	0	0	0	0	0	0
9	11	0	0	0	0	0	0
10	12	0	3	0	114688	0	0
11	13	0	0	0	0	0	0
12	11	0	0	0	0	0	0
13	14	0	1	0	12288	0	0
14	11	0	0	0	0	0	0
15	12	0	284	0	21307392	0	25480
16	2	0	1	0	12288	0	0
17	7	0	0	0	0	0	0
18	12	0	14	0	77824	0	8
19	13	0	24	0	98304	0	20
20	12	0	29	0	278528	0	72
21	15	0	16	0	69632	0	0
22	22	0	0	0	0	0	0
23	37	0	0	0	0	0	0
24	46	0	0	0	0	0	0
25	12	0	8	0	1851392	0	12
26	12	0	0	0	0	0	0
27	28	0	0	0	0	0	0
28	28	0	2	0	606208	0	0
29	12	0	6	0	1118208	0	0
30	12	0	0	0	0	0	0
31	13	0	0	0	0	0	0
32	12	0	3	0	446464	0	32
33	12	0	0	0	0	0	0
34	12	0	0	0	0	0	0
35	12	0	87	0	6635520	0	788
36	11	0	12	0	4050944	0	52
37	40	0	6	0	585728	0	8
38	56	0	18	0	229376	0	4
39	100	0	10	0	1232896	0	0
40	100	0	0	0	0	0	0
41	100	0	0	0	0	0	0
42	100	0	5	0	1495040	0	28
43	100	0	0	0	0	0	0
44	100	0	0	0	0	0	0
45	100	0	1130	0	5304320	0	108
46	100	0	0	0	0	0	0
47	100	0	0	0	0	0	0
48	100	0	3	0	716800	0	8
49	100	0	0	0	0	0	0
50	100	0	224	0	8241152	0	2096
51	100	0	0	0	0	0	0
52	100	0	0	0	0	0	0
53	100	0	0	0	0	0	0
54	100	0	3	0	77824	0	44
55	100	0	1200	0	8531968	0	312
56	100	0	0	0	0	0	0
57	100	0	0	0	0	0	0
58	100	0	0	0	0	0	0
59	100	0	0	0	0	0	0
60	100	0	108	0	3059712	0	56
61	100	0	0	0	0	0	0
62	100	0	0	0	0	0	0
63	100	0	0	0	0	0	0
64	100	0	0	0	0	0	0
65	100	0	22	0	1622016	0	468
66	100	0	0	0	0	0	0
67	100	0	0	0	0	0	0
68	100	0	0	0	0	0	0
69	100	0	0	0	0	0	0
70	100	0	1164	0	8851456	0	412
71	100	0	0	0	0	0	0
72	100	0	0	0	0	0	0
73	99	0	0	0	0	0	0
74	100	0	0	0	0	0	0
75	100	0	37	0	12914688	0	1896
76	100	0	0	0	0	0	0
77	100	0	0	0	0	0	0
78	100	0	0	0	0	0	0
79	100	0	0	0	0	0	0
80	100	0	64	0	22470656	0	5224
81	100	0	0	0	0	0	0
82	100	0	0	0	0	0	0
83	100	0	0	0	0	0	0
84	100	0	0	0	0	0	0
85	100	0	111	0	13754368	0	12948
86	100	0	0	0	0	0	0
87	100	0	0	0	0	0	0
88	100	0	0	0	0	0	0
89	100	0	0	0	0	0	0
90	100	0	59	0	21946368	0	4240
91	100	0	0	0	0	0	0
92	100	0	0	0	0	0	0
93	100	0	0	0	0	0	0
94	100	0	0	0	0	0	0
95	100	0	44	0	16617472	0	2404
96	100	0	0	0	0	0	0
97	100	0	0	0	0	0	0
98	100	0	0	0	0	0	0
99	100	0	0	0	0	0	0
100	100	0	64	0	24739840	0	6072
101	100	0	1	0	524288	0	256
102	100	0	0	0	0	0	0
103	100	0	0	0	0	0	0
104	100	0	0	0	0	0	0
105	100	0	59	0	21270528	0	4648
106	99	0	0	0	0	0	0
107	100	0	0	0	0	0	0
108	100	0	0	0	0	0	0
109	100	0	0	0	0	0	0
110	95	0	57	0	19832832	0	1492
111	59	0	0	0	0	0	0
112	25	0	0	0	0	0	0
113	22	0	0	0	0	0	0
114	15	0	0	0	0	0	0
115	10	0	32	0	15020032	0	2780
116	12	0	128	0	58105856	0	38232
117	12	0	156	0	81788928	0	147504
118	9	0	133	0	69730304	0	129596
119	14	0	136	0	70922240	0	140044
120	25	0	149	0	78118912	0	153280
121	25	0	115	0	60293120	0	124508
122	18	0	133	0	69316608	0	106932
123	9	0	129	0	66453504	0	140628
124	21	0	91	0	41324544	0	141664
125	16	0	0	0	0	0	0
126	12	0	51	0	18669568	0	2132
127	36	0	0	0	0	0	0
128	100	0	0	0	0	0	0
129	100	0	0	0	0	0	0
130	99	0	0	0	0	0	0
131	100	0	87	0	31211520	0	8136
132	100	0	0	0	0	0	0
133	100	0	0	0	0	0	0
134	83	0	0	0	0	0	0
135	21	0	0	0	0	0	0
136	13	0	47	0	16441344	0	1728
137	19	0	0	0	0	0	0
138	52	0	2	0	253952	0	4
139	31	0	0	0	0	0	0
140	63	0	0	0	0	0	0
141	80	0	96	0	28037120	0	3168
142	12	0	0	0	0	0	0
143	12	0	70	0	1003520	0	16
144	12	0	46	0	659456	0	24
145	14	0	0	0	0	0	0
146	12	0	182	0	15183872	0	14308
147	19	0	0	0	0	0	0
148	44	0	0	0	0	0	0
