time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	13	0	0	0	0	0	0
1	7	65	33	721920	344064	240	71
2	14	102	141	851968	3432448	70	1620
3	15	62	393	516608	11435008	1868	6737
4	12	41	80	374784	335872	49	17
5	20	14	116	593920	1184256	59	888
6	13	31	85	790528	1171456	65	31
7	12	30	436	794624	20843520	166	1290
8	7	10	190	249856	5174784	172	597
9	19	0	115	0	1089024	0	1189
10	21	71	75	4346368	417792	500	198
11	15	249	159	6349312	700416	421	124
12	9	138	842	5861376	18262016	830	5586
13	24	13	807	1077248	20760576	461	3572
14	25	136	328	966656	2775040	680	659
15	21	72	279	503808	3382272	1036	1361
16	24	133	268	827392	2435072	882	835
17	25	75	428	782336	3616256	723	3009
18	19	128	380	1003520	4226560	1099	2542
19	15	100	228	663552	2287616	982	1454
20	11	438	200	2789888	3176448	690	1248
21	16	80	0	827392	0	261	0
22	15	15	43	430080	212992	83	8
23	21	21	28	1064960	1150976	81	4865
24	18	66	181	827392	2111488	116	306
25	16	56	48	860160	225280	110	10
26	12	16	134	630784	598016	5	28
27	9	127	212	12595200	1933824	381	1082
28	3	117	93	958464	802304	300	558
29	15	6	6	28672	57344	13	3
30	16	249	148	5982720	802816	101	27
31	18	34	105	479232	540672	10	21
32	16	10	96	102400	458752	3	19
33	21	48	102	471040	909312	70	19
34	40	51	21	311808	229376	61	4
35	21	32	32	372736	581632	179	145
36	13	0	21	0	176128	0	4
37	13	0	0	0	0	0	0
38	37	9	16	245760	688128	18	14
39	13	32	44	536576	565248	190	18
40	13	68	9	679936	188416	83	2
41	13	11	310	188416	2053120	18	13716
42	13	22	124	303104	1875968	41	288
43	13	18	12	253952	237568	6	3
44	13	14	11	208896	299008	3	2
45	16	52	76	1540096	3338240	52	72
46	41	81	119	626688	1888256	26	103
47	41	96	61	1187840	2105344	933	398
48	87	56	66	1007616	1003520	501	44
49	91	90	2	1327104	40960	466	0
50	100	117	6	1679360	548864	1183	88
51	100	1	0	4096	0	0	0
52	100	3	23	94208	2482176	0	81
53	100	24	73	405504	8249344	86	250
54	100	9	19	262144	1773568	29	83
55	100	9	11	311296	1196032	2	81
56	100	6	36	233472	4198400	2	203
57	100	3	35	53248	4034560	0	196
58	100	9	24	344064	2797568	22	76
59	100	4	22	143360	2502656	4	108
60	100	17	51	208896	5378048	5	148
61	100	10	0	278528	0	21	0
62	100	1	15	12288	1814528	0	74
63	100	11	63	364544	7376896	25	254
64	100	19	30	290816	3227648	46	186
65	100	4	30	98304	3399680	21	101
66	100	4	27	90112	3141632	1	166
67	100	3	0	131072	0	1	0
68	100	8	68	135168	8069120	26	382
69	100	1	11	32768	1298432	0	53
70	100	7	22	225280	2412544	1	76
71	100	4	25	94208	2957312	1	102
72	100	5	172	98304	5255168	6	589
73	100	5	116	221184	2686976	8	210
74	100	4	38	98304	4640768	8	214
75	100	4	54	73728	6238208	0	316
76	100	5	20	57344	1441792	10	54
77	100	7	47	151552	5320704	22	189
78	100	2	26	65536	3067904	21	99
79	100	10	54	241664	6262784	1	279
80	100	9	10	360448	1110016	3	32
81	100	6	0	135168	0	1	0
82	100	5	46	114688	5357568	1	223
83	100	0	0	0	0	0	0
84	100	6	30	135168	3645440	13	131
85	100	7	54	94208	6250496	11	208
86	100	10	42	188416	4804608	25	264
87	100	13	0	151552	0	7	0
88	100	7	29	180224	3481600	2	142
89	100	15	23	311296	2805760	2	171
90	100	3	27	40960	2818048	1	109
91	100	4	12	73728	1351680	1	43
92	100	1	15	8192	1785856	0	64
