time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	15	0	1	0	131072	0	1
1	13	102	125	881152	1394176	220	346
2	20	246	405	17809408	20226048	1159	3527
3	11	79	85	642048	826368	144	89
4	6	6	190	28672	1540608	114	995
5	6	8	10	561152	49152	17	2
6	16	8	71	40960	4499456	4	5058
7	13	26	274	1716224	6807552	501	2980
8	9	7	151	36864	2787840	36	645
9	22	0	127	0	1191936	0	1514
10	20	142	114	13377536	714240	2284	248
11	16	66	182	6279168	8654848	1123	846
12	14	144	264	850432	13584384	104	2684
13	7	60	444	5324800	2183168	256	333
14	19	360	752	5505024	4763648	187	645
15	19	122	110	700416	1012224	1015	2780
16	20	138	255	1085440	2390016	614	947
17	28	131	265	802816	3316224	1439	1521
18	18	171	397	1343488	3398656	868	1613
19	22	111	221	1126400	2283520	977	1016
20	19	155	268	1200128	2488320	855	988
21	16	123	235	1036288	2308608	925	1371
22	15	103	216	1003520	2226176	1369	1252
23	16	130	160	1597952	1992192	910	1641
24	23	49	5	720896	40960	217	2
25	17	84	214	6692864	2765312	165	802
26	26	14	44	94208	415232	90	378
27	22	61	67	418816	368640	31	12
28	19	49	46	724992	212992	93	9
29	16	6	134	24576	606208	1	28
30	10	89	143	610304	1261568	242	57
31	14	44	258	638976	3723264	67	4377
32	23	243	75	5821952	393216	140	14
33	20	46	172	1577472	1773568	25	49
34	26	16	121	307200	569344	4	25
35	19	42	90	409600	2306048	55	56
36	22	147	46	8119296	454656	2434	10
37	45	16	14	131072	204800	82	3
38	15	34	64	454656	1572864	63	42
39	14	0	1	0	4096	0	1
40	26	17	7	282624	471040	5	6
41	25	27	26	438272	385024	141	11
42	12	12	31	208896	413696	31	16
43	14	58	270	626688	1949696	373	13769
44	14	13	12	212992	282624	5	2
45	18	20	14	282624	258048	42	5
46	18	19	29	262144	1187840	6	30
47	15	12	11	184320	290816	14	4
48	15	56	77	1597440	3338240	40	79
49	32	34	39	368640	577536	7	7
50	33	106	144	1118208	4104192	292	165
51	37	62	75	839680	1150976	299	46
52	47	125	13	1781760	663552	496	14
53	52	65	0	942080	0	313	0
54	52	3	21	45056	2473984	1	79
55	51	6	26	81920	3104768	25	121
56	53	26	32	389120	3792896	84	194
57	58	5	14	118784	1413120	0	64
58	52	8	40	204800	4673536	399	193
59	52	17	23	274432	2424832	109	108
60	53	11	182	421888	2067456	51	639
61	57	5	181	155648	4317184	22	652
62	58	3	32	28672	2756608	6	140
63	65	1	15	16384	1507328	0	46
64	76	10	58	245760	4087808	4	145
65	63	4	54	49152	4444160	1	192
66	64	5	64	200704	5304320	1	206
67	71	4	46	249856	3207168	20	98
68	53	1	11	32768	1150976	1	27
69	52	3	3	81920	57344	0	1
70	53	2	30	20480	3522560	0	160
71	58	4	34	77824	3940352	12	136
72	56	5	35	151552	3133440	1	138
73	61	6	12	188416	1323008	12	44
74	65	5	36	118784	2994176	1	92
75	63	1	29	12288	3117056	0	129
76	61	4	17	73728	925696	27	29
77	57	15	47	204800	4292608	6	152
78	57	7	19	299008	1855488	15	57
79	55	9	11	110592	688128	28	16
80	53	3	45	69632	5005312	16	327
81	52	6	10	192512	1191936	1	45
82	52	1	11	32768	1298432	7	43
83	53	3	36	73728	4358144	1	191
84	53	4	32	53248	3538944	1	136
85	58	9	34	278528	4030464	18	275
86	54	1	26	32768	2031616	0	60
87	56	4	21	69632	2220032	1	93
88	53	3	39	81920	4292608	7	158
89	53	6	14	270336	1630208	1	64
90	53	4	35	40960	3772416	1	116
91	53	3	9	77824	1003520	9	30
92	54	2	93	28672	3616768	1	175
93	52	3	41	65536	4648960	9	204
94	56	7	15	98304	1314816	11	45
95	55	3	19	69632	2191360	29	58
96	57	13	26	217088	2859008	14	91
97	57	11	14	409600	1441792	3	62
98	57	2	17	61440	1966080	0	78
99	53	2	34	36864	3067904	1	150
100	53	3	18	94208	2113536	1	95
101	52	3	17	49152	1990656	0	110
102	52	0	0	0	0	0	0
103	52	3	31	69632	3739648	39	150
104	53	6	26	151552	2818048	1	210
105	54	2	34	24576	4157440	1	359
106	58	1	12	8192	1417216	0	35
107	60	2	30	57344	3403776	8	148
108	63	23	16	266240	1429504	41	51
109	60	16	51	168448	5840896	7	376
110	57	46	8	491520	544768	98	34
111	54	41	41	249856	5275648	843	19038
112	54	2	27	65536	3137536	14	108
113	53	5	19	241664	2158592	2	133
114	54	2	0	8192	0	0	0
115	55	3	45	45056	5091328	1	403
116	55	1	17	20480	2056192	0	111
117	53	2	35	40960	4247552	0	227
118	54	6	25	126976	2969600	2	111
119	53	3	0	49152	0	1	0
120	54	4	39	114688	4423680	2	254
121	54	4	13	40960	995328	2	31
122	53	2	131	32768	4513792	1	454
123	53	1	10	20480	1130496	0	37
124	53	3	47	53248	5591040	0	312
125	53	1	24	16384	2727936	1	97
126	53	3	15	45056	1597440	0	65
127	52	6	31	32768	3428352	1	132
128	53	1	10	8192	1097728	0	37
129	59	3	43	40960	4878336	1	219
130	63	0	0	0	0	0	0
131	54	2	37	8192	4280320	0	189
132	54	13	19	409600	1708032	23	53
