time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	29	0	0	0	0	0	0
1	31	0	114	0	35139584	0	30058
2	32	0	40	0	18821120	0	31422
3	68	0	2	0	73728	0	16
4	25	0	12	0	3751936	0	434
5	41	0	0	0	0	0	0
6	49	0	127	0	8196096	0	34324
7	56	0	254	0	4112384	0	138934
8	30	1	217	4096	7974912	162	132042
9	26	0	109	0	11788288	0	84766
10	24	0	0	0	0	0	0
11	25	0	0	0	0	0	0
12	28	0	0	0	0	0	0
13	41	0	46	0	6041600	0	2926
14	38	0	131	0	16044032	0	82380
15	33	0	147	0	1363968	0	150278
16	49	0	214	0	2088960	0	177443
17	32	0	217	0	1949696	0	138369
18	23	0	207	0	7712768	0	135162
19	27	0	97	0	5185536	0	79814
20	26	0	2	0	245760	0	18
21	94	0	0	0	0	0	0
22	31	17	1	69632	4096	475	124
23	74	76	59	1232896	2736128	3799	9484
24	100	0	45	0	6721536	0	19755
25	100	0	0	0	0	0	0
26	100	0	0	0	0	0	0
27	100	0	0	0	0	0	0
28	100	0	12	0	196608	0	467
29	100	0	3	0	405504	0	34
30	100	0	0	0	0	0	0
31	100	0	0	0	0	0	0
32	100	0	0	0	0	0	0
33	100	0	65	0	3461120	0	9440
34	100	0	16	0	2588672	0	4493
35	100	0	0	0	0	0	0
36	100	0	0	0	0	0	0
37	100	0	0	0	0	0	0
38	100	0	40	0	4935680	0	4877
39	100	0	3	0	200704	0	36
40	100	0	0	0	0	0	0
41	100	0	0	0	0	0	0
42	100	0	0	0	0	0	0
43	100	0	40	0	1773568	0	4298
44	100	0	3	0	172032	0	35
45	100	0	0	0	0	0	0
46	100	0	0	0	0	0	0
47	100	0	0	0	0	0	0
48	100	0	26	0	851968	0	1253
49	100	0	3	0	126976	0	35
50	100	0	0	0	0	0	0
51	100	0	0	0	0	0	0
52	100	0	0	0	0	0	0
53	100	0	78	0	3592192	0	11730
54	100	0	166	0	7163904	0	98493
55	100	0	93	0	946176	0	91243
56	100	0	0	0	0	0	0
57	100	0	0	0	0	0	0
58	100	0	0	0	0	0	0
59	100	0	32	0	9539584	0	2404
60	100	0	0	0	0	0	0
61	100	0	0	0	0	0	0
62	100	0	0	0	0	0	0
63	100	0	0	0	0	0	0
64	100	0	58	0	20230144	0	9163
65	100	0	13	0	6709248	0	1328
66	100	0	0	0	0	0	0
67	100	0	0	0	0	0	0
68	100	0	0	0	0	0	0
69	100	0	10	0	180224	0	180
70	100	0	51	0	22294528	0	8687
71	100	0	0	0	0	0	0
72	100	0	0	0	0	0	0
73	100	0	0	0	0	0	0
74	100	0	17	0	5300224	0	748
75	100	1	51	4096	16449536	103	5693
76	100	0	0	0	0	0	0
77	100	0	0	0	0	0	0
78	100	0	0	0	0	0	0
79	100	0	0	0	0	0	0
80	100	0	71	0	27930624	0	9916
81	100	0	0	0	0	0	0
82	100	0	0	0	0	0	0
83	100	0	0	0	0	0	0
84	100	0	0	0	0	0	0
85	100	0	92	0	18939904	0	20448
86	100	0	0	0	0	0	0
87	100	0	0	0	0	0	0
88	100	0	0	0	0	0	0
89	100	0	0	0	0	0	0
90	100	0	89	0	33976320	0	19084
91	100	0	0	0	0	0	0
92	100	0	0	0	0	0	0
93	100	0	0	0	0	0	0
94	79	0	0	0	0	0	0
95	51	0	62	0	21553152	0	9128
96	34	0	0	0	0	0	0
97	30	0	0	0	0	0	0
98	25	0	0	0	0	0	0
99	36	1	199	4096	100139008	161	91416
100	25	3	172	12288	89853952	61	140961
101	25	1	203	4096	104796160	75	151210
102	25	0	164	0	83439616	0	114887
103	25	3	189	12288	96468992	247	78802
104	40	0	180	0	94371840	0	139754
105	25	1	190	4096	99213312	39	133395
106	54	0	122	0	63193088	0	88376
107	26	1	66	4096	20692992	109	5678
108	24	0	7	0	3325952	0	1351
109	25	0	0	0	0	0	0
110	79	0	3	0	274432	0	45
111	100	0	0	0	0	0	0
112	100	0	36	0	14811136	0	3592
113	100	0	26	0	10805248	0	5734
114	100	0	0	0	0	0	0
115	100	0	3	0	184320	0	46
116	69	0	0	0	0	0	0
117	29	0	35	0	13291520	0	3544
118	25	0	48	0	21680128	0	13039
119	24	0	0	0	0	0	0
120	28	0	0	0	0	0	0
121	74	0	3	0	180224	0	36
122	91	2	14	135168	3792896	30	776
123	72	0	101	0	26963968	0	37314
124	93	0	0	0	0	0	0
125	99	3	0	131072	0	2	0
126	84	0	11	0	4014080	0	465
127	38	1	32	126976	14192640	10	2915
128	25	0	80	0	16134144	0	12942
129	25	0	41	0	802816	0	329
130	24	0	6	0	139264	0	51
131	25	0	5	0	1150976	0	105
132	25	0	16	0	4476928	0	977
133	40	0	0	0	0	0	0
134	69	1	0	131072	0	7	0
135	68	0	0	0	0	0	0
136	68	0	3	0	1028096	0	50
137	85	0	7	0	520192	0	219
138	100	0	0	0	0	0	0
139	100	0	0	0	0	0	0
140	100	0	0	0	0	0	0
141	100	0	13	0	4673536	0	598
142	100	3	33	266240	12075008	143	3436
143	100	0	182	0	94478336	0	109181
144	100	1	19	131072	3112960	43	13309
145	100	0	0	0	0	0	0
146	100	0	9	0	3440640	0	343
147	100	0	0	0	0	0	0
148	100	0	90	0	27873280	0	19142
149	97	0	0	0	0	0	0
150	65	0	0	0	0	0	0
151	98	0	5	0	1196032	0	78
152	97	1	0	131072	0	17	0
153	82	3	98	12288	46698496	157	27794
154	75	1	148	131072	61313024	22	109745
155	57	2	0	126976	0	1	0
156	90	0	12	0	4530176	0	534
157	90	0	0	0	0	0	0
158	89	0	1	0	4096	0	17
159	37	0	196	0	4313088	0	75037
160	44	0	211	0	3563520	0	154350
161	36	0	164	0	5419008	0	121921
162	57	0	181	0	3256320	0	170604
163	96	0	103	0	1302528	0	75248
164	72	0	0	0	0	0	0
165	71	0	14	0	5627904	0	772
166	93	1	15	4096	5484544	46	463
167	63	0	33	0	4321280	0	2135
168	100	3	77	12288	11808768	186	21304
169	74	0	0	0	0	0	0
170	35	0	0	0	0	0	0
171	100	0	6	0	1585152	0	188
172	75	0	38	0	741376	0	2862
173	100	4	42	208896	4894720	27	12104
174	97	0	0	0	0	0	0
175	82	0	0	0	0	0	0
176	61	0	3	0	659456	0	53
177	85	0	24	0	774144	0	1629
178	46	0	35	0	4345856	0	8058
179	83	0	0	0	0	0	0
180	35	0	0	0	0	0	0
181	88	0	3	0	520192	0	38
182	80	0	40	0	2060288	0	3104
183	66	0	8	0	897024	0	1368
184	60	0	0	0	0	0	0
185	40	0	0	0	0	0	0
186	100	0	4	0	1003520	0	58
187	98	0	19	0	1363968	0	1507
188	63	0	43	0	4444160	0	9669
189	59	0	2	0	811008	0	15
190	100	0	0	0	0	0	0
191	80	0	4	0	1114112	0	76
192	81	2	41	172032	1609728	18	2950
193	44	0	23	0	757760	0	4474
194	100	1	0	4096	0	7	0
195	100	0	0	0	0	0	0
196	100	0	4	0	1224704	0	79
197	100	0	39	0	2519040	0	2922
198	100	0	203	0	9003008	0	109976
199	100	1	171	102400	2666496	259	122209
200	100	0	18	0	147456	0	16333
201	100	0	4	0	733184	0	66
202	100	0	0	0	0	0	0
203	100	0	0	0	0	0	0
204	100	0	52	0	10616832	0	6359
205	100	0	0	0	0	0	0
206	100	0	0	0	0	0	0
207	100	0	4	0	733184	0	68
208	100	0	0	0	0	0	0
209	100	0	75	0	11542528	0	11514
210	100	2	0	135168	0	34	0
211	100	0	0	0	0	0	0
212	100	0	4	0	643072	0	90
213	100	1	0	135168	0	1	0
214	100	0	72	0	7020544	0	9527
215	100	0	0	0	0	0	0
216	100	0	0	0	0	0	0
217	100	0	3	0	438272	0	48
218	100	0	0	0	0	0	0
219	100	0	73	0	9306112	0	10115
220	100	0	0	0	0	0	0
221	100	0	0	0	0	0	0
222	100	0	3	0	339968	0	48
223	100	0	0	0	0	0	0
224	100	0	89	0	11894784	0	16366
225	100	0	0	0	0	0	0
226	100	0	0	0	0	0	0
227	100	0	3	0	294912	0	39
228	100	0	0	0	0	0	0
229	51	1	65	131072	8491008	37	12179
230	25	0	0	0	0	0	0
231	62	0	0	0	0	0	0
232	93	0	3	0	372736	0	64
233	37	0	0	0	0	0	0
234	26	0	163	0	12189696	0	67533
235	24	0	72	0	671744	0	57041
236	26	0	2	0	131072	0	53
237	80	0	2	0	364544	0	24
238	100	0	0	0	0	0	0
239	100	4	75	16384	9691136	103	5378
240	100	0	0	0	0	0	0
241	100	0	0	0	0	0	0
242	100	0	3	0	503808	0	39
243	100	0	0	0	0	0	0
244	100	0	48	0	9424896	0	5860
245	95	0	0	0	0	0	0
246	81	0	0	0	0	0	0
247	100	0	3	0	376832	0	31
248	94	0	0	0	0	0	0
249	88	0	47	0	9281536	0	4091
250	100	0	0	0	0	0	0
251	100	0	0	0	0	0	0
252	100	0	3	0	344064	0	37
253	100	0	0	0	0	0	0
254	100	0	46	0	9203712	0	4751
255	100	0	0	0	0	0	0
256	100	0	0	0	0	0	0
257	100	0	3	0	180224	0	44
258	100	0	0	0	0	0	0
259	100	0	53	0	11538432	0	6911
260	100	0	0	0	0	0	0
261	100	0	0	0	0	0	0
262	100	0	0	0	0	0	0
263	100	0	3	0	143360	0	30
264	100	0	59	0	9338880	0	7263
265	100	0	0	0	0	0	0
266	100	0	0	0	0	0	0
267	100	0	0	0	0	0	0
268	100	0	3	0	184320	0	44
269	100	0	69	0	1835008	0	8371
270	100	0	93	0	2138112	0	50272
271	100	0	0	0	0	0	0
272	100	0	0	0	0	0	0
273	100	0	3	0	163840	0	44
274	100	0	34	0	7950336	0	2987
275	100	0	11	0	2781184	0	2266
276	100	0	0	0	0	0	0
277	100	0	0	0	0	0	0
278	100	0	3	0	143360	0	42
279	100	0	34	0	7319552	0	3287
280	100	0	7	0	2023424	0	1413
281	100	0	0	0	0	0	0
282	100	0	0	0	0	0	0
283	100	0	3	0	147456	0	43
284	100	0	23	0	4427776	0	1670
285	100	0	0	0	0	0	0
286	100	0	0	0	0	0	0
287	100	0	0	0	0	0	0
288	100	0	3	0	126976	0	40
289	100	0	31	0	8396800	0	3145
290	100	0	0	0	0	0	0
291	100	0	0	0	0	0	0
292	100	0	0	0	0	0	0
293	100	0	0	0	0	0	0
294	100	0	28	0	10674176	0	2891
295	100	0	1	0	40960	0	189
296	100	0	0	0	0	0	0
297	100	0	0	0	0	0	0
298	100	0	0	0	0	0	0
299	100	0	18	0	6324224	0	1254
300	100	0	19	0	4878336	0	3419
301	100	0	0	0	0	0	0
302	100	0	0	0	0	0	0
303	100	0	0	0	0	0	0
304	100	0	29	0	5922816	0	1985
305	100	3	42	118784	8077312	53	10377
306	100	0	0	0	0	0	0
307	90	0	0	0	0	0	0
308	75	0	0	0	0	0	0
309	34	0	10	0	3596288	0	562
310	39	0	17	0	6418432	0	2531
311	50	0	0	0	0	0	0
312	66	0	0	0	0	0	0
313	100	0	0	0	0	0	0
314	100	0	4	0	626688	0	65
315	100	0	13	0	5971968	0	1095
316	71	0	0	0	0	0	0
317	72	0	0	0	0	0	0
318	98	0	0	0	0	0	0
319	31	0	9	0	1744896	0	285
320	54	0	18	0	8114176	0	2290
321	66	0	0	0	0	0	0
322	100	0	0	0	0	0	0
323	100	0	0	0	0	0	0
324	100	0	3	0	389120	0	98
325	100	0	35	0	13434880	0	6122
326	100	0	0	0	0	0	0
327	100	0	0	0	0	0	0
328	100	0	0	0	0	0	0
329	100	0	1	0	4096	0	15
330	100	0	28	0	8761344	0	2997
331	100	0	0	0	0	0	0
332	100	0	1	0	4096	0	13
333	71	0	0	0	0	0	0
334	26	0	0	0	0	0	0
335	25	0	20	0	6311936	0	1093
336	26	0	0	0	0	0	0
337	25	0	0	0	0	0	0
338	25	0	0	0	0	0	0
339	36	0	0	0	0	0	0
340	47	0	148	0	7811072	0	59088
341	73	0	27	0	335872	0	26171
342	46	0	0	0	0	0	0
343	28	0	0	0	0	0	0
344	26	0	0	0	0	0	0
345	25	0	15	0	3448832	0	1142
346	26	0	0	0	0	0	0
347	25	0	0	0	0	0	0
348	25	0	0	0	0	0	0
349	27	0	0	0	0	0	0
350	25	0	22	0	6365184	0	1636
351	25	0	0	0	0	0	0
352	25	0	0	0	0	0	0
353	25	0	0	0	0	0	0
354	60	0	0	0	0	0	0
355	100	0	32	0	5070848	0	1941
356	100	0	0	0	0	0	0
357	69	0	0	0	0	0	0
358	43	0	0	0	0	0	0
359	27	0	0	0	0	0	0
360	32	0	24	0	8417280	0	1746
361	95	0	0	0	0	0	0
362	97	0	0	0	0	0	0
363	33	0	0	0	0	0	0
364	62	0	2	0	327680	0	23
365	62	0	40	0	16211968	0	6080
366	70	0	0	0	0	0	0
367	85	0	0	0	0	0	0
368	100	0	0	0	0	0	0
369	68	0	0	0	0	0	0
370	100	0	80	0	1032192	0	19974
371	100	0	26	0	253952	0	14033
372	74	0	0	0	0	0	0
373	49	0	0	0	0	0	0
374	24	0	0	0	0	0	0
375	25	0	62	0	12808192	0	8425
376	26	0	0	0	0	0	0
377	25	0	0	0	0	0	0
378	25	0	7	0	2285568	0	178
379	25	0	0	0	0	0	0
380	26	0	3	0	897024	0	54
381	25	0	0	0	0	0	0
382	25	0	0	0	0	0	0
383	26	0	0	0	0	0	0
384	26	0	0	0	0	0	0
385	25	0	19	0	7446528	0	1730
386	26	0	0	0	0	0	0
387	26	0	0	0	0	0	0
388	26	0	0	0	0	0	0
389	26	0	0	0	0	0	0
390	26	0	53	0	12300288	0	6292
391	26	0	0	0	0	0	0
392	25	0	6	0	2048000	0	110
393	25	0	2	0	516096	0	19
394	25	0	5	0	1351680	0	98
395	26	0	47	0	10108928	0	6033
396	25	0	0	0	0	0	0
397	25	0	12	0	4153344	0	406
398	25	0	4	0	1163264	0	68
399	35	0	4	0	1056768	0	66
400	25	0	86	0	1048576	0	14608
401	23	0	182	0	8962048	0	119360
402	26	0	11	0	253952	0	12239
403	25	0	0	0	0	0	0
404	25	0	0	0	0	0	0
405	25	0	14	0	4943872	0	665
406	25	0	72	0	10600448	0	7751
407	25	0	0	0	0	0	0
408	25	0	0	0	0	0	0
409	26	0	10	0	3399680	0	237
410	25	0	7	0	2224128	0	193
411	26	0	26	0	2392064	0	1180
412	25	0	4	0	1712128	0	99
413	25	0	0	0	0	0	0
414	26	0	0	0	0	0	0
415	25	0	1	0	143360	0	15
416	26	0	27	0	6127616	0	948
417	25	0	4	0	1122304	0	55
418	25	0	0	0	0	0	0
419	26	0	0	0	0	0	0
420	26	0	1	0	245760	0	19
421	25	0	36	0	4595712	0	1936
422	26	0	12	0	4612096	0	512
423	25	0	5	0	1277952	0	74
424	26	0	5	0	1196032	0	119
425	26	0	8	0	3035136	0	225
426	25	0	34	0	3465216	0	2175
427	25	0	6	0	2392064	0	117
428	26	0	0	0	0	0	0
429	26	0	5	0	1196032	0	97
430	26	0	0	0	0	0	0
431	25	0	37	0	4718592	0	2036
432	57	0	0	0	0	0	0
433	100	0	0	0	0	0	0
434	100	0	0	0	0	0	0
435	99	0	2	0	528384	0	27
436	100	0	138	0	5324800	0	54762
437	100	0	9	0	61440	0	7580
438	100	0	0	0	0	0	0
439	100	0	0	0	0	0	0
440	100	0	0	0	0	0	0
441	100	0	30	0	4149248	0	1695
442	100	0	0	0	0	0	0
443	100	0	0	0	0	0	0
444	100	0	0	0	0	0	0
445	100	0	0	0	0	0	0
446	100	0	25	0	3284992	0	1061
447	62	0	0	0	0	0	0
448	84	0	0	0	0	0	0
449	25	0	0	0	0	0	0
450	53	0	0	0	0	0	0
451	100	0	31	0	8216576	0	3356
452	100	0	0	0	0	0	0
453	100	0	0	0	0	0	0
454	100	0	0	0	0	0	0
455	100	0	0	0	0	0	0
456	100	0	27	0	6348800	0	2174
457	100	0	0	0	0	0	0
458	100	0	0	0	0	0	0
459	100	0	0	0	0	0	0
460	100	0	0	0	0	0	0
461	74	0	29	0	4521984	0	2348
462	100	0	0	0	0	0	0
463	100	0	0	0	0	0	0
464	100	0	0	0	0	0	0
465	100	0	0	0	0	0	0
466	100	0	94	0	9007104	0	27052
467	100	0	0	0	0	0	0
468	100	0	0	0	0	0	0
469	100	0	0	0	0	0	0
470	100	0	0	0	0	0	0
471	99	0	98	0	10113024	0	27829
472	87	0	39	0	5955584	0	27503
473	86	0	0	0	0	0	0
474	100	0	0	0	0	0	0
475	66	0	0	0	0	0	0
476	100	0	38	0	13565952	0	4249
477	73	0	0	0	0	0	0
478	59	0	0	0	0	0	0
479	100	0	0	0	0	0	0
480	100	0	0	0	0	0	0
481	100	0	34	0	8355840	0	2180
482	100	0	0	0	0	0	0
483	87	0	0	0	0	0	0
484	65	0	0	0	0	0	0
485	88	0	0	0	0	0	0
