time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	7	0	0	0	0	0	0
1	10	0	0	0	0	0	0
2	9	0	0	0	0	0	0
3	8	0	52	0	913408	0	1211
4	9	0	0	0	0	0	0
5	11	0	0	0	0	0	0
6	22	10	3	77824	12288	37	3
7	14	233	102	1318912	524288	4461	709
8	11	155	119	798720	831488	1343	1298
9	7	30	104	126976	2310144	128	2403
10	6	0	0	0	0	0	0
11	10	10	161	53248	4984832	34	14400
12	8	227	38	1302528	155648	475	40
13	9	197	198	1056768	4079616	1178	8055
14	9	78	85	331776	1433600	132	1850
15	7	0	0	0	0	0	0
16	25	0	43	0	417792	0	849
17	48	9	3	57344	12288	4	5
18	25	57	147	270336	1454080	426	2137
19	78	285	27	6086656	663552	3811	838
20	71	1319	76	37199872	315392	16916	807
21	11	1322	82	40194048	385024	12083	685
22	12	0	0	0	0	0	0
23	13	8	370	32768	13840384	782	115718
24	13	8	650	32768	28614656	435	147821
25	7	7	655	28672	28528640	340	131614
26	6	1	646	4096	28995584	84	142600
27	7	0	672	0	30277632	0	143708
28	8	0	664	0	29917184	0	142609
29	15	0	670	0	30232576	0	144543
30	12	1	713	4096	32010240	69	141457
31	12	0	701	0	31584256	0	144314
32	12	0	702	0	31629312	0	144087
33	12	0	716	0	32260096	0	143755
34	12	1	707	4096	31842304	71	141361
35	13	0	688	0	30998528	0	144085
36	16	0	741	0	30527488	0	115992
37	12	1	697	4096	31109120	57	140545
38	12	0	573	0	25706496	0	139486
39	12	0	578	0	25890816	0	145188
40	10	0	557	0	24989696	0	142624
41	13	0	567	0	25309184	0	144969
42	12	4	582	16384	26124288	345	139394
43	12	1	685	4096	30674944	103	147658
44	12	0	606	0	27176960	0	144315
45	12	0	604	0	26963968	0	141142
46	11	1	671	4096	30117888	97	148969
47	12	0	687	0	30855168	0	142918
48	12	0	688	0	30998528	0	145328
49	12	0	698	0	31449088	0	142925
50	18	0	654	0	29466624	0	142882
51	14	1	708	4096	31887360	75	141424
52	12	0	705	0	31764480	0	143757
53	13	0	720	0	32440320	0	143849
54	17	0	720	0	32296960	0	121163
55	15	26	687	397312	30576640	1696	138159
56	19	8	691	163840	30777344	414	137146
57	19	0	624	0	28024832	0	137827
58	14	0	598	0	26767360	0	148504
59	10	1	584	4096	25935872	101	145132
60	12	0	480	0	10125312	0	58623
61	12	0	0	0	0	0	0
62	12	0	0	0	0	0	0
63	15	0	0	0	0	0	0
64	41	80	40	974848	204800	1139	275
65	12	370	50	7028736	204800	5622	729
66	12	0	0	0	0	0	0
67	12	0	0	0	0	0	0
68	12	0	0	0	0	0	0
69	7	0	40	0	409600	0	507
70	13	0	1	0	4096	0	1
71	8	0	0	0	0	0	0
72	6	0	0	0	0	0	0
73	28	0	0	0	0	0	0
74	72	13	120	86016	1134592	40	1164
75	52	0	0	0	0	0	0
76	28	0	0	0	0	0	0
77	52	0	0	0	0	0	0
78	94	0	0	0	0	0	0
79	100	0	87	0	2490368	0	2951
80	45	0	0	0	0	0	0
81	13	1	0	4096	0	13	0
82	12	0	64	0	262144	0	133
83	12	0	112	0	458752	0	195
84	12	0	135	0	942080	0	571
85	12	0	126	0	598016	0	450
86	12	0	41	0	167936	0	83
87	12	0	0	0	0	0	0
88	12	0	0	0	0	0	0
89	12	0	0	0	0	0	0
90	12	0	177	0	5201920	0	12260
91	12	0	0	0	0	0	0
92	12	0	0	0	0	0	0
93	12	0	0	0	0	0	0
94	21	0	0	0	0	0	0
95	21	1	531	4096	21147648	108	88955
96	50	9	701	36864	28905472	438	106600
97	38	0	642	0	28925952	0	142673
98	40	1	666	4096	29749248	101	142030
99	18	0	442	0	13320192	0	80342
100	38	0	67	0	1585152	0	1572
101	100	0	0	0	0	0	0
102	99	3	0	12288	0	42	0
103	100	0	0	0	0	0	0
104	42	0	367	0	15118336	0	68182
105	25	0	554	0	24924160	0	159791
106	24	1	690	4096	31084544	34	140793
107	32	0	675	0	30384128	0	146337
108	99	0	481	0	21037056	0	96622
109	98	0	0	0	0	0	0
110	100	0	59	0	1236992	0	1115
111	99	0	0	0	0	0	0
112	100	0	0	0	0	0	0
113	100	0	201	0	6336512	0	22381
114	100	0	0	0	0	0	0
115	100	0	84	0	2359296	0	3314
116	100	0	0	0	0	0	0
117	17	0	0	0	0	0	0
118	47	0	79	0	1880064	0	2305
119	81	0	0	0	0	0	0
120	72	1	59	4096	1261568	26	1290
121	72	0	0	0	0	0	0
122	43	0	0	0	0	0	0
123	36	0	152	0	4923392	0	11820
124	37	0	0	0	0	0	0
125	10	21	90	86016	2654208	29	3781
126	57	0	0	0	0	0	0
127	38	33	0	135168	0	332	0
128	99	0	100	0	2588672	0	4593
129	66	0	0	0	0	0	0
130	9	0	80	0	2207744	0	2600
131	8	0	0	0	0	0	0
132	18	0	0	0	0	0	0
133	24	52	238	626688	5021696	2289	23492
134	34	208	363	1576960	8171520	2846	48334
135	41	322	290	2449408	7479296	3629	16396
136	62	137	174	1687552	5578752	628	14063
137	62	254	44	3014656	180224	1708	183
138	16	93	14	1470464	57344	398	102
139	20	38	79	442368	1667072	79	2193
140	34	34	55	663552	921600	82	887
141	41	237	46	2682880	188416	2003	465
142	27	165	150	1945600	1744896	498	1690
143	44	219	45	1622016	184320	1624	333
144	28	401	268	2772992	6504448	3934	21037
145	100	220	113	2580480	1867776	906	2149
146	99	298	57	4665344	233472	1015	239
147	100	281	49	5750784	200704	757	172
148	91	210	38	4149248	155648	558	151
149	23	0	58	0	1073152	0	1086
150	18	277	115	4579328	1617920	814	1703
151	11	163	47	1249280	192512	795	270
152	7	0	0	0	0	0	0
153	45	25	39	172032	159744	44	202
154	61	478	281	5971968	4923392	3641	9336
155	93	468	90	11796480	1200128	2777	953
156	14	659	116	15605760	475136	2550	492
157	12	12	2	229376	8192	18	2
158	8	0	0	0	0	0	0
159	36	11	99	212992	2523136	21	4436
160	26	118	73	1757184	1019904	710	1005
161	26	228	27	4907008	110592	714	69
162	25	39	10	925696	40960	39	11
163	25	0	0	0	0	0	0
164	25	0	130	0	3956736	0	8956
165	22	0	44	0	573440	0	434
166	11	60	8	2195456	32768	120	11
167	14	10	2	270336	8192	12	2
168	12	77	16	1310720	65536	203	36
169	25	28	585	1114112	24051712	2220	105018
170	28	12	465	114688	10379264	108	68031
171	33	139	32	2674688	131072	618	153
172	13	72	81	1310720	389120	220	632
173	33	70	17	974848	69632	292	80
174	62	503	150	2895872	614400	2211	693
175	22	272	603	2301952	23101440	5027	99504
176	7	102	228	630784	8445952	1940	42066
177	6	19	53	126976	438272	60	523
178	7	0	0	0	0	0	0
179	8	17	7	135168	28672	35	6
180	13	65	197	536576	3526656	121	3888
181	13	18	639	147456	27049984	614	118290
182	10	11	698	139264	29962240	849	141184
183	8	54	507	487424	20852736	743	104884
184	8	61	129	794624	3272704	191	4644
185	9	120	250	802816	3559424	538	3350
186	9	62	332	1044480	5996544	167	6239
187	11	82	281	1392640	4255744	95	3384
188	13	43	553	638976	19447808	723	39541
189	12	13	713	192512	31195136	823	141717
190	12	10	723	147456	31776768	679	133416
191	11	8	692	143360	30760960	677	128074
192	9	8	672	118784	29655040	451	145116
193	7	94	186	1376256	3829760	250	3489
194	6	27	196	368640	5246976	75	9129
195	9	3	91	28672	1032192	17	951
196	11	81	167	1101824	4747264	226	8835
197	13	100	341	1003520	9248768	860	22333
198	8	1	578	4096	25325568	58	140105
199	8	51	454	520192	15953920	494	71828
200	19	75	213	843776	3346432	177	2742
201	97	216	55	1748992	225280	756	191
202	94	684	161	5681152	688128	3737	640
203	16	457	172	5132288	716800	1128	336
204	30	3	484	16384	19607552	137	97689
205	75	155	697	2719744	21069824	2626	112578
206	37	588	220	8941568	901120	2292	793
207	17	312	123	4026368	503808	872	315
208	41	117	30	1523712	122880	208	66
209	23	70	15	1519616	61440	373	40
210	15	48	293	1073152	10485760	62	36998
211	43	95	121	1875968	4091904	368	25087
212	33	470	117	6373376	479232	1722	489
213	32	433	108	6201344	446464	2303	523
214	43	387	66	6926336	270336	1975	130
215	51	472	160	10428416	1847296	1032	1413
216	64	459	346	7745536	9723904	5023	34577
217	29	522	134	7680000	548864	1511	358
218	99	15	4	229376	16384	13	3
219	99	19	0	77824	0	335	0
220	100	0	72	0	1847296	0	1742
221	100	0	248	0	9502720	0	33487
222	100	0	0	0	0	0	0
223	99	27	3	798720	12288	79	3
224	99	119	15	3518464	61440	294	26
225	99	113	96	3043328	2138112	336	2351
226	100	118	333	3452928	12636160	2506	47737
227	100	51	10	1130496	40960	58	10
228	100	58	10	1437696	40960	89	11
229	97	185	30	4681728	122880	494	52
230	92	179	105	4796416	2224128	391	2349
231	98	222	314	5509120	11210752	3522	42926
232	100	168	57	4108288	970752	662	5674
233	99	41	7	1146880	28672	43	9
234	13	365	46	9674752	188416	1717	195
235	8	84	159	2387968	5361664	260	11811
236	20	0	220	0	9342976	0	27210
237	47	0	640	0	27652096	0	137104
238	30	0	627	0	27430912	0	147932
239	7	50	916	1777664	24743936	2962	153306
240	23	17	388	278528	9625600	65	37465
241	65	60	69	679936	2772992	90	11714
242	76	302	52	6467584	212992	945	125
243	97	339	46	8269824	188416	1469	245
244	82	560	82	14610432	335872	2723	310
245	43	169	640	4513792	25329664	7699	105697
246	70	139	565	3457024	22867968	4141	134034
247	66	204	601	4935680	24682496	7186	144331
248	67	193	664	5021696	27504640	9354	142586
249	77	174	605	4476928	25534464	9602	136323
250	97	344	484	9916416	19496960	14073	108968
251	77	788	123	20037632	503808	2174	452
252	74	376	417	10285056	16474112	9848	80313
253	56	171	644	4399104	27107328	10133	140192
254	68	85	694	1888256	29425664	5161	143178
255	46	121	741	2891776	30806016	7277	141712
256	60	153	549	3739648	23228416	4434	133998
257	75	185	614	5632000	25415680	6663	137950
258	71	251	621	7409664	25935872	10986	146667
259	66	288	633	9011200	27041792	15505	145795
260	51	179	585	5287936	24641536	11824	141338
261	63	191	548	5509120	22794240	5335	143075
262	75	284	623	8978432	26423296	11312	134914
263	73	235	671	6713344	26128384	9696	142302
264	69	278	617	8208384	25640960	15282	141932
265	65	262	656	8089600	27488256	12594	144242
266	19	217	651	6676480	27918336	13057	145706
267	29	12	601	331776	26054656	712	128734
268	57	65	592	1404928	25845760	2866	141915
269	17	19	648	786432	27844608	910	140246
270	17	25	707	573440	31178752	1511	145679
271	16	1	649	4096	27971584	114	142014
272	16	16	567	364544	25124864	618	132478
273	20	15	648	344064	28192768	775	143436
274	29	12	668	417792	29650944	613	144246
275	35	32	708	520192	31002624	1991	144582
276	18	42	702	954368	30978048	2898	143835
277	34	50	616	1150976	12132352	529	65860
278	43	87	28	630784	114688	231	61
279	13	337	62	8200192	253952	611	129
280	14	91	17	2195456	69632	150	18
281	9	35	71	581632	1478656	13	1437
282	14	23	280	430080	10919936	192	37383
283	34	91	22	1576960	90112	123	60
284	81	268	59	5394432	241664	1274	256
285	9	0	0	0	0	0	0
286	11	0	19	0	77824	0	84
287	12	22	373	311296	13742080	99	55308
288	11	9	712	57344	30572544	700	144774
289	18	9	681	90112	29818880	718	142492
290	99	52	23	417792	745472	105	3328
291	79	22	40	372736	163840	15	240
292	99	55	111	1355776	4575232	56	9782
293	99	52	7	1363968	28672	60	7
294	97	112	160	2965504	5529600	714	13005
295	94	60	678	1368064	29728768	3802	143903
296	40	71	653	1617920	28622848	4727	140976
297	31	21	565	184320	24674304	539	173893
298	16	12	630	118784	27463680	374	145784
299	23	12	658	139264	29331456	733	144637
300	23	27	702	335872	30720000	1688	144200
301	12	21	689	401408	30253056	1247	142657
302	7	3	282	16384	12238848	2	64014
303	12	16	7	155648	28672	910	880
304	7	6	4	32768	16384	2	5
305	47	0	0	0	0	0	0
306	17	24	23	544768	94208	30	20
307	22	4	414	122880	15101952	4	69589
308	22	0	506	0	22601728	0	143541
309	22	0	501	0	22376448	0	141682
310	12	1	545	4096	22806528	101	143705
311	12	6	125	24576	5459968	461	32622
312	9	16	34	135168	315392	290	1219
313	12	22	6	401408	24576	16	8
314	14	39	8	557056	32768	115	80
315	21	25	44	352256	344064	42	422
316	19	4	535	81920	23105536	354	126782
317	17	3	649	32768	27512832	311	145326
318	16	0	576	0	24813568	0	123113
319	12	0	676	0	7782400	0	79001
320	13	0	0	0	0	0	0
321	13	1	0	4096	0	15	0
322	14	0	0	0	0	0	0
323	14	23	25	679936	102400	35	121
324	12	7	441	167936	14254080	454	75458
325	12	38	481	933888	19935232	1514	96619
326	12	0	0	0	0	0	0
327	12	0	0	0	0	0	0
328	12	2	0	8192	0	1	0
329	12	0	40	0	393216	0	333
330	12	0	370	0	14905344	0	59916
331	12	0	361	0	14458880	0	87005
332	12	0	0	0	0	0	0
333	12	611	0	8945664	0	359	0
334	12	0	0	0	0	0	0
335	12	0	38	0	282624	0	304
336	12	0	234	0	8327168	0	30574
337	12	0	0	0	0	0	0
338	11	0	0	0	0	0	0
339	11	528	0	12292096	0	464	0
340	12	556	0	9814016	0	401	0
341	12	0	92	0	1282048	0	1457
342	12	0	0	0	0	0	0
343	12	0	0	0	0	0	0
344	12	0	0	0	0	0	0
345	12	0	0	0	0	0	0
346	12	344	198	9854976	6369280	1843	19391
347	12	230	0	4837376	0	186	0
348	11	699	0	18583552	0	711	0
349	11	696	0	15781888	0	602	0
350	18	422	0	7106560	0	284	0
351	10	129	515	1613824	18616320	604	90519
352	11	467	365	7544832	14639104	865	33061
353	15	299	525	5701632	19357696	993	29697
354	23	12	619	442368	26595328	602	95618
355	16	0	644	0	28983296	0	142526
356	12	12	711	151552	31399936	811	146220
357	13	111	490	1773568	21966848	909	96341
358	12	8	530	225280	22528000	535	89440
359	12	39	671	1175552	30232576	3124	147848
360	12	17	673	380928	30281728	1467	140303
361	12	12	780	155648	25329664	970	149256
362	11	20	611	225280	27475968	1061	185023
363	8	380	75	3842048	3031040	911	15445
364	13	162	9	2281472	36864	231	13
365	9	78	5	1277952	20480	138	6
366	11	134	65	1748992	1376256	383	1468
367	24	277	3	3031040	12288	224	5
368	18	798	3	15405056	12288	589	3
369	30	160	0	2490368	0	104	0
370	37	116	0	2490368	0	111	0
371	34	7	0	90112	0	4	0
372	31	392	44	7057408	589824	292	490
373	32	224	0	4968448	0	174	0
374	74	41	0	1003520	0	43	0
375	14	54	12	1396736	49152	160	25
376	26	321	0	9400320	0	837	0
377	100	190	30	3162112	122880	1621	317
378	97	32	67	372736	724992	21	576
