time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	11	0	0	0	0	0	0
1	13	28	0	208896	0	119	0
2	34	28	130	172032	1909760	306	222
3	21	10	37	69632	548864	178	12
4	12	64	31	778240	221184	214	140
5	12	0	0	0	0	0	0
6	34	3	7	32768	475136	26	63
7	15	0	39	0	471040	0	26
8	11	0	24	0	331776	0	8
9	12	11	177	81920	1958912	123	715
10	12	1	17	4096	253952	0	6
11	12	4	20	28672	274432	33	7
12	12	0	18	0	290816	0	5
13	12	0	12	0	225280	0	5
14	10	0	19	0	397312	0	6
15	13	101	258	1449984	3637248	170	59
16	52	20	262	299008	4400128	18	379
17	27	20	83	131072	999424	236	322
18	100	12	36	155648	618496	41	28
19	100	0	3	0	45056	0	1
20	100	0	3	0	552960	0	107
21	100	0	0	0	0	0	0
22	100	0	10	0	2494464	0	89
23	100	0	14	0	5476352	0	64
24	100	0	13	0	2838528	0	36
25	100	0	6	0	1753088	0	82
26	100	0	4	0	1204224	0	5
27	100	0	6	0	3088384	0	14
28	100	0	7	0	2686976	0	131
29	100	0	9	0	2502656	0	192
30	100	1	8	4096	2813952	18	19
31	100	0	3	0	1359872	0	7
32	100	0	14	0	4366336	0	48
33	100	0	8	0	1605632	0	10
34	100	0	2	0	544768	0	125
35	100	0	0	0	0	0	0
36	100	0	10	0	4435968	0	154
37	100	0	18	0	6725632	0	55
38	100	0	9	0	1331200	0	129
39	100	0	9	0	2768896	0	21
40	100	0	3	0	643072	0	51
41	100	0	8	0	3149824	0	82
42	100	0	0	0	0	0	0
43	100	1	19	4096	8105984	18	93
44	100	0	5	0	1835008	0	9
45	100	0	2	0	536576	0	104
46	100	0	60	0	2163712	0	167
47	100	0	15	0	6426624	0	41
48	100	0	3	0	1126400	0	71
49	100	0	3	0	28672	0	0
50	100	0	8	0	4669440	0	80
51	100	0	16	0	6303744	0	103
52	100	0	8	0	1388544	0	178
53	100	0	15	0	5341184	0	33
54	100	0	6	0	3100672	0	84
55	100	0	4	0	1396736	0	50
56	100	1	13	4096	4894720	15	24
57	100	0	4	0	1118208	0	6
58	100	0	0	0	0	0	0
59	100	0	18	0	5398528	0	99
60	100	0	0	0	0	0	0
61	100	0	0	0	0	0	0
62	100	0	7	0	3657728	0	106
63	100	0	9	0	4149248	0	30
64	100	0	12	0	5472256	0	25
65	100	0	6	0	1462272	0	39
66	100	0	0	0	0	0	0
67	100	0	8	0	3497984	0	103
68	100	0	5	0	2822144	0	180
69	100	0	9	0	2834432	0	31
70	100	0	0	0	0	0	0
71	100	0	3	0	1351680	0	65
72	100	0	3	0	1798144	0	107
73	100	1	11	4096	3563520	14	35
74	100	0	6	0	2977792	0	57
75	100	0	10	0	4259840	0	27
76	100	0	31	0	443392	0	27
77	100	0	3	0	1351680	0	96
78	100	0	6	0	3014656	0	14
79	100	0	7	0	3088384	0	70
80	100	0	11	0	5677056	0	88
81	100	0	13	0	5767168	0	55
82	100	1	11	4096	4796416	15	42
83	100	1	6	4096	2441216	18	23
84	100	0	10	0	2580480	0	43
85	100	0	4	0	1265664	0	93
86	100	0	19	0	5144576	0	126
87	100	0	4	0	73728	0	68
88	100	0	13	0	1191936	0	71
89	100	0	13	0	3039232	0	15
90	49	1	14	4096	5636096	17	111
91	25	0	26	0	8413184	0	50
92	21	0	0	0	0	0	0
93	10	0	3	0	1699840	0	51
94	4	4	76	32768	58195968	115	2298
95	4	20	187	81920	142606336	57	7210
96	4	5	187	20480	137363456	47	8370
97	3	2	245	8192	155250688	0	4602
98	1	68	153	1056768	89366528	311	1000
99	13	299	0	3907584	0	2076	0
100	20	136	11	6504448	126976	681	4
101	10	0	5	0	155648	0	2
102	1	74	5	7069696	1523712	341	89
103	2	300	0	24535040	0	1474	0
104	7	297	0	21245952	0	1395	0
105	100	173	370	13139968	6037504	1114	75
106	100	1	143	4096	2606080	34	163
107	100	0	30	0	1515520	0	21
108	100	0	15	0	622592	0	15
109	100	0	29	0	5529600	0	52
110	95	0	32	0	2347008	0	18
111	48	0	15	0	2854912	0	15
112	12	0	24	0	5644288	0	30
113	12	3	7	12288	6139904	21	46
114	78	8	33	90112	561152	46	11
115	73	2	482	8192	5089280	69	1592
116	46	2	293	8192	2458624	12	1401
117	99	2	396	8192	4020224	18	990
118	100	0	308	0	2524160	0	1680
119	68	0	311	0	2614272	0	787
120	12	8	272	32768	2405376	91	1150
121	12	12	72	69632	921600	38	21
122	12	16	60	77824	573440	42	17
123	12	9	60	36864	573440	28	18
124	12	0	83	0	1101824	0	22
125	12	0	74	0	1511424	0	21
126	12	0	67	0	1478656	0	19
127	12	0	114	0	1421312	0	29
128	12	0	59	0	1376256	0	18
129	41	0	84	0	1159168	0	23
130	76	0	192	0	2249728	0	253
131	35	0	256	0	2335744	0	624
132	40	1	198	8192	2057216	17	815
133	77	4	245	28672	3229184	7	429
134	100	39	815	200704	6811136	333	4144
135	98	65	127	290816	770048	22	27
136	97	48	385	200704	4303360	201	836
137	100	47	134	196608	1016320	670	1411
138	100	45	404	212992	4216832	172	1265
139	99	72	395	663552	4319232	242	1878
140	100	83	379	360448	4364288	298	1319
141	100	57	417	241664	4245504	210	1757
142	100	51	98	245760	1643008	138	68
143	95	40	241	176128	1507840	37	554
144	100	13	201	57344	2999296	84	1038
145	99	0	26	0	131072	0	489
146	100	0	14	0	73728	0	293
147	54	0	13	0	81920	0	37
148	62	3	10	12288	196608	20	7
149	87	4	231	16384	2237440	31	1050
150	88	48	558	270336	5966848	912	2495
151	83	43	410	290816	5376512	387	2618
152	49	39	558	196608	5229056	141	1755
153	54	37	234	212992	2298880	78	348
154	44	27	242	176128	2356224	41	731
155	68	4	213	16384	2118656	26	376
156	100	0	246	0	2315264	0	446
157	48	0	256	0	2700288	0	618
158	31	2	226	8192	2339840	23	444
159	67	0	15	0	106496	0	11
160	65	0	69	0	1720320	0	24
161	89	54	133	937984	4562944	38	57
162	77	3	82	20480	1474560	35	70
163	59	53	124	819200	4760064	42	78
164	99	55	244	929792	5145088	28	262
165	72	134	84	1941504	1101824	638	413
166	11	190	94	2301952	1163776	1068	537
167	11	22	285	172032	4938240	393	1396
168	83	36	0	339968	0	92	0
169	70	0	34	0	1626112	0	145
170	94	0	96	0	2244608	0	40
171	96	2	26	8192	667648	33	10
172	77	284	183	2818048	2921472	1023	456
173	38	687	63	7217152	647168	748	141
174	29	195	91	1699840	1691648	195	66
175	60	0	10	0	884736	0	7
176	51	3	29	16384	843776	68	44
177	23	0	54	0	1843200	0	27
178	44	0	24	0	765952	0	10
179	22	9	38	98304	315392	67	10
180	39	0	125	0	2679808	0	194
181	98	39	21	172032	1286144	188	84
182	35	0	79	0	1724416	0	29
183	34	4	21	28672	970752	42	10
184	35	0	30	0	1163264	0	14
185	22	0	4	0	184320	0	112
186	69	0	4	0	921600	0	56
187	82	0	178	0	3400704	0	299
188	55	6	48	24576	1429504	31	25
189	27	6	51	90112	2158592	22	22
190	41	7	36	94208	1597440	28	38
191	85	0	59	0	774144	0	19
192	100	0	282	0	3843072	0	867
193	50	0	162	0	1916928	0	50
194	56	0	93	0	1282048	0	37
195	12	1	44	4096	1146880	15	19
196	97	7	10	28672	880640	17	79
197	100	14	228	110592	3397632	133	1277
198	100	1	55	4096	987136	0	18
199	100	1	70	4096	1392640	5	31
200	100	0	47	0	360448	0	12
201	100	0	30	0	1101824	0	15
202	100	25	34	253952	823296	96	37
203	100	4	73	53248	1208320	41	21
204	100	0	157	0	3572736	0	243
205	100	3	26	24576	565248	16	9
206	100	0	46	0	2514944	0	20
207	100	0	60	0	2785280	0	37
208	100	14	33	118784	835584	78	11
