time	cpu	read_count	write_count	read_bytes	write_bytes	read_time	write_time
0	12	0	0	0	0	0	0
1	13	18	0	77824	0	59	0
2	13	28	15	172032	118784	302	5
3	15	108	215	716800	2425856	1654	2284
4	12	186	217	1658880	3154944	1672	1646
5	6	16	18	94208	176128	86	56
6	4	66	161	438272	2094080	537	503
7	4	109	165	663552	2155520	669	707
8	5	108	56	716800	606208	672	32
9	8	152	312	1781760	5477376	552	367
10	12	68	53	503808	507904	418	20
11	51	17	106	245760	2650112	13	43
12	56	73	235	532480	3269632	580	1286
13	100	49	52	368640	20144128	1100	113
14	100	0	0	0	0	0	0
15	100	3	123	24576	4596736	23	326
16	100	0	0	0	0	0	0
17	100	9	30	65536	8855552	72	62
18	100	14	35	98304	15388672	137	93
19	100	17	37	126976	11579392	130	61
20	100	11	24	77824	8704000	102	47
21	100	8	16	61440	6152192	82	27
22	100	0	100	0	3539968	0	208
23	100	7	26	57344	10821632	77	60
24	100	17	40	126976	14155776	141	81
25	100	6	19	40960	6303744	72	49
26	100	3	6	24576	3297280	32	14
27	100	6	18	45056	5611520	70	45
28	100	19	52	135168	18178048	177	104
29	100	1	9	8192	2379776	3	81
30	100	3	3	24576	1568768	31	7
31	100	0	0	0	0	0	0
32	99	8	138	61440	14775296	101	332
33	100	22	51	155648	16306176	296	202
34	100	12	29	86016	11636736	141	70
35	100	10	29	73728	8073216	85	39
36	100	4	12	32768	3047424	31	24
37	100	6	27	45056	10399744	51	52
38	100	0	0	0	0	0	0
39	100	11	152	90112	19035136	107	425
40	100	8	32	65536	10465280	82	59
41	100	4	17	32768	5636096	60	34
42	100	2	3	16384	1609728	20	6
43	100	6	23	49152	10059776	81	128
44	100	12	38	86016	13279232	117	144
45	100	7	125	45056	5997568	47	256
46	100	13	36	73728	12169216	107	90
47	100	4	15	32768	6602752	63	72
48	100	10	37	73728	14090240	103	76
49	100	17	35	114688	11313152	153	60
50	100	16	139	106496	11371520	179	356
51	100	9	25	65536	11137024	72	52
52	100	8	90	49152	10310656	72	236
53	99	2	14	16384	6062080	16	45
54	100	17	52	118784	18427904	150	109
55	100	0	0	0	0	0	0
56	100	0	4	0	2203648	0	118
57	100	16	42	106496	15396864	150	96
58	100	0	0	0	0	0	0
59	100	0	0	0	0	0	0
60	100	3	14	24576	7344128	41	33
61	100	10	149	65536	17957888	93	332
62	100	15	33	94208	11014144	137	63
63	100	5	36	36864	14446592	44	82
64	100	4	15	28672	4358144	39	82
65	100	5	13	28672	5005312	39	33
66	100	4	14	28672	5275648	36	56
67	100	4	16	28672	8077312	36	53
68	100	12	27	77824	8536064	108	65
69	100	2	5	16384	3317760	35	35
70	100	4	13	28672	3940352	36	28
71	100	5	127	36864	7943168	75	329
72	100	0	13	0	4849664	0	246
73	100	11	36	77824	16211968	87	123
74	100	5	24	36864	8605696	36	44
75	100	8	13	53248	6139904	83	29
76	100	0	0	0	0	0	0
77	100	7	25	49152	10579968	42	62
78	99	5	15	40960	4714496	68	30
79	100	13	55	90112	25076224	159	180
80	100	15	145	102400	17527296	150	294
81	100	11	41	81920	16121856	122	118
82	100	1	89	8192	5354496	9	202
83	100	13	37	86016	10854400	111	104
84	100	1	14	8192	2945024	12	57
85	99	16	27	118784	10973184	133	50
86	99	71	174	630784	15438848	504	410
87	100	40	32	593920	7880704	442	184
88	100	0	0	0	0	0	0
89	81	5	30	28672	7127040	52	74
90	15	3	177	24576	26784768	46	614
91	12	0	14	0	5406720	0	35
92	10	0	0	0	0	0	0
93	5	7	82	36864	50794496	95	1571
94	4	98	209	401408	175108096	84	6717
95	5	1	198	4096	161505280	0	9433
96	1	3	282	12288	177315840	1	1288
97	5	254	54	3723264	21065728	1489	150
98	22	247	19	8097792	274432	1201	6
99	11	2	12	16384	3383296	31	31
100	3	1	2	8192	1503232	13	72
101	1	258	8	22794240	1908736	1163	13
102	2	313	0	22708224	0	1398	0
103	15	257	0	18812928	0	1319	0
104	57	209	565	2494464	10494976	2389	2689
105	100	161	203	1257472	17757184	1759	1751
106	100	40	26	438272	5509120	341	94
107	81	22	30	155648	4382720	119	56
108	12	0	190	0	22553600	0	351
109	10	0	26	0	10014720	0	73
110	75	24	41	192512	1499648	202	219
111	70	4	421	16384	3659264	93	2032
112	50	2	407	8192	3745792	12	1068
113	93	2	410	8192	4052992	1	1076
114	100	0	472	0	4331520	0	2125
115	73	0	124	0	704512	0	28
116	11	2	280	8192	2450432	19	608
117	11	16	54	90112	921600	63	16
118	12	17	39	77824	569344	68	12
119	12	9	39	36864	548864	37	12
120	12	0	72	0	970752	0	153
121	12	0	72	0	1478656	0	20
122	12	0	80	0	1515520	0	22
123	13	0	98	0	1433600	0	25
124	12	0	202	0	3236864	0	420
